SYMBOL	cluster	uniprot	ENSEMBL	GENENAME	GO_terms	GO_names	pbc	p_value	present_median	present_average	present_consistency	xabsent_median	xabsent_average	xabsent_consistency
ACADL	I60_OG000195	P28330	ENSG00000115361	acyl-CoA dehydrogenase long chain	GO:0000062; GO:0001659; GO:0004466; GO:0005515; GO:0005737; GO:0005739; GO:0005759; GO:0016042; GO:0016401; GO:0019254; GO:0031966; GO:0033539; GO:0042413; GO:0042758; GO:0042802; GO:0045717; GO:0046322; GO:0050660; GO:0090181; GO:0120162	fatty-acyl-CoA binding; temperature homeostasis; long-chain fatty acyl-CoA dehydrogenase activity; protein binding; cytoplasm; mitochondrion; mitochondrial matrix; lipid catabolic process; palmitoyl-CoA oxidase activity; carnitine metabolic process, CoA-linked; mitochondrial membrane; fatty acid beta-oxidation using acyl-CoA dehydrogenase; carnitine catabolic process; long-chain fatty acid catabolic process; identical protein binding; negative regulation of fatty acid biosynthetic process; negative regulation of fatty acid oxidation; flavin adenine dinucleotide binding; regulation of cholesterol metabolic process; positive regulation of cold-induced thermogenesis	0.3887	0.00703	1	0.9545454545454546	1.0	1.0	0.625	0.625
ACADM	I60_OG000195	P11310	ENSG00000117054	acyl-CoA dehydrogenase medium chain	GO:0001889; GO:0003995; GO:0005634; GO:0005737; GO:0005739; GO:0005759; GO:0005978; GO:0006111; GO:0006635; GO:0009409; GO:0009791; GO:0019254; GO:0030424; GO:0031966; GO:0033539; GO:0042594; GO:0042802; GO:0045329; GO:0050660; GO:0051791; GO:0051793; GO:0055007; GO:0070991	liver development; acyl-CoA dehydrogenase activity; nucleus; cytoplasm; mitochondrion; mitochondrial matrix; glycogen biosynthetic process; regulation of gluconeogenesis; fatty acid beta-oxidation; response to cold; post-embryonic development; carnitine metabolic process, CoA-linked; axon; mitochondrial membrane; fatty acid beta-oxidation using acyl-CoA dehydrogenase; response to starvation; identical protein binding; carnitine biosynthetic process; flavin adenine dinucleotide binding; medium-chain fatty acid metabolic process; medium-chain fatty acid catabolic process; cardiac muscle cell differentiation; medium-chain fatty acyl-CoA dehydrogenase activity	0.3887	0.00703	1	0.9545454545454546	1.0	1.0	0.625	0.625
ACADS	I60_OG000195	P16219	ENSG00000122971	acyl-CoA dehydrogenase short chain	GO:0003995; GO:0005515; GO:0005634; GO:0005654; GO:0005739; GO:0005759; GO:0005813; GO:0006635; GO:0016937; GO:0033539; GO:0046359; GO:0050660	acyl-CoA dehydrogenase activity; protein binding; nucleus; nucleoplasm; mitochondrion; mitochondrial matrix; centrosome; fatty acid beta-oxidation; short-chain fatty acyl-CoA dehydrogenase activity; fatty acid beta-oxidation using acyl-CoA dehydrogenase; butyrate catabolic process; flavin adenine dinucleotide binding	0.3887	0.00703	1	0.9545454545454546	1.0	1.0	0.625	0.625
ACADSB	I60_OG000195	P45954	ENSG00000196177	acyl-CoA dehydrogenase short/branched chain	GO:0003853; GO:0003995; GO:0005739; GO:0005759; GO:0006550; GO:0006631; GO:0016937; GO:0042802; GO:0050660	short-chain 2-methyl fatty acyl-CoA dehydrogenase activity; acyl-CoA dehydrogenase activity; mitochondrion; mitochondrial matrix; isoleucine catabolic process; fatty acid metabolic process; short-chain fatty acyl-CoA dehydrogenase activity; identical protein binding; flavin adenine dinucleotide binding	0.3887	0.00703	1	0.9545454545454546	1.0	1.0	0.625	0.625
ACADVL	I60_OG000195	P49748	ENSG00000072778	acyl-CoA dehydrogenase very long chain	GO:0000062; GO:0001659; GO:0003995; GO:0004466; GO:0005515; GO:0005654; GO:0005730; GO:0005739; GO:0005743; GO:0005759; GO:0009409; GO:0015980; GO:0017099; GO:0030855; GO:0031966; GO:0033539; GO:0042645; GO:0042802; GO:0045717; GO:0046322; GO:0050660; GO:0090181	fatty-acyl-CoA binding; temperature homeostasis; acyl-CoA dehydrogenase activity; long-chain fatty acyl-CoA dehydrogenase activity; protein binding; nucleoplasm; nucleolus; mitochondrion; mitochondrial inner membrane; mitochondrial matrix; response to cold; energy derivation by oxidation of organic compounds; very-long-chain fatty acyl-CoA dehydrogenase activity; epithelial cell differentiation; mitochondrial membrane; fatty acid beta-oxidation using acyl-CoA dehydrogenase; mitochondrial nucleoid; identical protein binding; negative regulation of fatty acid biosynthetic process; negative regulation of fatty acid oxidation; flavin adenine dinucleotide binding; regulation of cholesterol metabolic process	0.3887	0.00703	1	0.9545454545454546	1.0	1.0	0.625	0.625
ACER1	I14_OG002010	Q8TDN7	ENSG00000167769	alkaline ceramidase 1	GO:0005515; GO:0005783; GO:0005789; GO:0006665; GO:0008544; GO:0010446; GO:0017040; GO:0019216; GO:0030148; GO:0030149; GO:0030154; GO:0030216; GO:0046512; GO:0046514; GO:0046872; GO:0048733; GO:0071277	protein binding; endoplasmic reticulum; endoplasmic reticulum membrane; sphingolipid metabolic process; epidermis development; response to alkaline pH; N-acylsphingosine amidohydrolase activity; regulation of lipid metabolic process; sphingolipid biosynthetic process; sphingolipid catabolic process; cell differentiation; keratinocyte differentiation; sphingosine biosynthetic process; ceramide catabolic process; metal ion binding; sebaceous gland development; cellular response to calcium ion	0.5152	0.04573	1	0.7272727272727273	0.7272727272727273	0.0	0.21875	0.25
ACER2	I14_OG002010	Q5QJU3	ENSG00000177076	alkaline ceramidase 2	GO:0000139; GO:0001953; GO:0005515; GO:0005794; GO:0006974; GO:0008284; GO:0010506; GO:0017040; GO:0030149; GO:0030330; GO:0032526; GO:0033629; GO:0042981; GO:0046512; GO:0046514; GO:0046872; GO:0060049; GO:0071466	Golgi membrane; negative regulation of cell-matrix adhesion; protein binding; Golgi apparatus; DNA damage response; positive regulation of cell population proliferation; regulation of autophagy; N-acylsphingosine amidohydrolase activity; sphingolipid catabolic process; DNA damage response, signal transduction by p53 class mediator; response to retinoic acid; negative regulation of cell adhesion mediated by integrin; regulation of apoptotic process; sphingosine biosynthetic process; ceramide catabolic process; metal ion binding; regulation of protein glycosylation; cellular response to xenobiotic stimulus	0.5152	0.04573	1	0.7272727272727273	0.7272727272727273	0.0	0.21875	0.25
ACER3	I14_OG002010	Q9NUN7	ENSG00000078124	alkaline ceramidase 3	GO:0000139; GO:0005509; GO:0005789; GO:0006954; GO:0008270; GO:0008284; GO:0016020; GO:0017040; GO:0042552; GO:0043067; GO:0046512; GO:0046514; GO:0071602	Golgi membrane; calcium ion binding; endoplasmic reticulum membrane; inflammatory response; zinc ion binding; positive regulation of cell population proliferation; membrane; N-acylsphingosine amidohydrolase activity; myelination; regulation of programmed cell death; sphingosine biosynthetic process; ceramide catabolic process; phytosphingosine biosynthetic process	0.5152	0.04573	1	0.7272727272727273	0.7272727272727273	0.0	0.21875	0.25
ACOT11	I14_OG005733	Q8WXI4	ENSG00000162390	acyl-CoA thioesterase 11	GO:0005515; GO:0005737; GO:0005759; GO:0005829; GO:0006631; GO:0006637; GO:0008289; GO:0009266; GO:0009409; GO:0035556; GO:0047617; GO:0052689; GO:0052816; GO:0070062; GO:0120163	protein binding; cytoplasm; mitochondrial matrix; cytosol; fatty acid metabolic process; acyl-CoA metabolic process; lipid binding; response to temperature stimulus; response to cold; intracellular signal transduction; fatty acyl-CoA hydrolase activity; carboxylic ester hydrolase activity; long-chain fatty acyl-CoA hydrolase activity; extracellular exosome; negative regulation of cold-induced thermogenesis	0.6697	0.00331	1.0	0.6818181818181818	0.7272727272727273	0.0	0.0625	0.0625
ACOT12	I14_OG005733	Q8WYK0	ENSG00000172497	acyl-CoA thioesterase 12	GO:0003986; GO:0005515; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0006084; GO:0006631; GO:0006637; GO:0008289; GO:0042802; GO:0045171; GO:0052689	acetyl-CoA hydrolase activity; protein binding; ATP binding; nucleoplasm; cytoplasm; cytosol; acetyl-CoA metabolic process; fatty acid metabolic process; acyl-CoA metabolic process; lipid binding; identical protein binding; intercellular bridge; carboxylic ester hydrolase activity	0.6697	0.00331	1.0	0.6818181818181818	0.7272727272727273	0.0	0.0625	0.0625
ACOT7	I14_OG005733	O00154	ENSG00000097021	acyl-CoA thioesterase 7	GO:0000062; GO:0005515; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0006637; GO:0009062; GO:0015937; GO:0036042; GO:0036114; GO:0036116; GO:0042803; GO:0051792; GO:0052689; GO:0052816; GO:0070062; GO:1900535	fatty-acyl-CoA binding; protein binding; nucleoplasm; cytoplasm; mitochondrion; cytosol; acyl-CoA metabolic process; fatty acid catabolic process; coenzyme A biosynthetic process; long-chain fatty acyl-CoA binding; medium-chain fatty-acyl-CoA catabolic process; long-chain fatty-acyl-CoA catabolic process; protein homodimerization activity; medium-chain fatty acid biosynthetic process; carboxylic ester hydrolase activity; long-chain fatty acyl-CoA hydrolase activity; extracellular exosome; palmitic acid biosynthetic process	0.6697	0.00331	1.0	0.6818181818181818	0.7272727272727273	0.0	0.0625	0.0625
ACSF3	I20_OG001191	Q4G176	ENSG00000176715	acyl-CoA synthetase family member 3	GO:0005515; GO:0005524; GO:0005654; GO:0005739; GO:0005759; GO:0006631; GO:0006633; GO:0016878; GO:0031957; GO:0035338; GO:0090409; GO:0090410	protein binding; ATP binding; nucleoplasm; mitochondrion; mitochondrial matrix; fatty acid metabolic process; fatty acid biosynthetic process; acid-thiol ligase activity; very long-chain fatty acid-CoA ligase activity; long-chain fatty-acyl-CoA biosynthetic process; malonyl-CoA synthetase activity; malonate catabolic process	0.4905	0.02713	1	1.0	1.0	1.0	0.5625	0.5625
ACTR5	I14_OG004231	Q9H9F9	ENSG00000101442	actin related protein 5	GO:0000723; GO:0005515; GO:0005634; GO:0005654; GO:0005737; GO:0006275; GO:0006282; GO:0006302; GO:0006310; GO:0006338; GO:0006355; GO:0031011; GO:0033044; GO:0045739; GO:0045893; GO:0045995; GO:0051726; GO:0060382; GO:0070914; GO:1904507	telomere maintenance; protein binding; nucleus; nucleoplasm; cytoplasm; regulation of DNA replication; regulation of DNA repair; double-strand break repair; DNA recombination; chromatin remodeling; regulation of DNA-templated transcription; Ino80 complex; regulation of chromosome organization; positive regulation of DNA repair; positive regulation of DNA-templated transcription; regulation of embryonic development; regulation of cell cycle; regulation of DNA strand elongation; UV-damage excision repair; positive regulation of telomere maintenance in response to DNA damage	0.4524	0.0407	1.0	0.5454545454545454	0.5454545454545454	0.0	0.125	0.125
ACTR8	I14_OG004448	Q9H981	ENSG00000113812	actin related protein 8	GO:0000723; GO:0005515; GO:0005524; GO:0005634; GO:0005654; GO:0005813; GO:0006275; GO:0006282; GO:0006302; GO:0006310; GO:0006338; GO:0006355; GO:0031011; GO:0033044; GO:0045739; GO:0045893; GO:0045995; GO:0051301; GO:0051726; GO:0060382; GO:1904507	telomere maintenance; protein binding; ATP binding; nucleus; nucleoplasm; centrosome; regulation of DNA replication; regulation of DNA repair; double-strand break repair; DNA recombination; chromatin remodeling; regulation of DNA-templated transcription; Ino80 complex; regulation of chromosome organization; positive regulation of DNA repair; positive regulation of DNA-templated transcription; regulation of embryonic development; cell division; regulation of cell cycle; regulation of DNA strand elongation; positive regulation of telomere maintenance in response to DNA damage	0.533	0.01269	1	0.6363636363636364	0.6363636363636364	0.0	0.125	0.125
ADA2	I14_OG005721	Q9NZK5	ENSG00000093072	adenosine deaminase 2	GO:0004000; GO:0005576; GO:0005615; GO:0006154; GO:0007165; GO:0008083; GO:0008201; GO:0008270; GO:0031685; GO:0035578; GO:0042803; GO:0043394; GO:0046103; GO:0046936	adenosine deaminase activity; extracellular region; extracellular space; adenosine catabolic process; signal transduction; growth factor activity; heparin binding; zinc ion binding; adenosine receptor binding; azurophil granule lumen; protein homodimerization activity; proteoglycan binding; inosine biosynthetic process; 2'-deoxyadenosine deaminase activity	0.4084	0.03421	0	0.22727272727272727	0.2727272727272727	0.0	0.0	0.0
ADGRV1	I14_OG002083	Q8WXG9	ENSG00000164199	adhesion G protein-coupled receptor V1	GO:0001917; GO:0001965; GO:0002141; GO:0002142; GO:0004930; GO:0005509; GO:0005515; GO:0005737; GO:0005886; GO:0007166; GO:0007186; GO:0007194; GO:0007399; GO:0007601; GO:0007605; GO:0009986; GO:0010739; GO:0010855; GO:0016020; GO:0016787; GO:0030501; GO:0031647; GO:0032420; GO:0043235; GO:0045184; GO:0045494; GO:0048496; GO:0048839; GO:0050877; GO:0050910; GO:0050953; GO:0060113; GO:0060122; GO:0060171; GO:0070062; GO:0071277; GO:0097264; GO:0098609; GO:1990075; GO:1990696	photoreceptor inner segment; G-protein alpha-subunit binding; stereocilia ankle link; stereocilia ankle link complex; G protein-coupled receptor activity; calcium ion binding; protein binding; cytoplasm; plasma membrane; cell surface receptor signaling pathway; G protein-coupled receptor signaling pathway; negative regulation of adenylate cyclase activity; nervous system development; visual perception; sensory perception of sound; cell surface; positive regulation of protein kinase A signaling; adenylate cyclase inhibitor activity; membrane; hydrolase activity; positive regulation of bone mineralization; regulation of protein stability; stereocilium; receptor complex; establishment of protein localization; photoreceptor cell maintenance; maintenance of animal organ identity; inner ear development; nervous system process; detection of mechanical stimulus involved in sensory perception of sound; sensory perception of light stimulus; inner ear receptor cell differentiation; inner ear receptor cell stereocilium organization; stereocilium membrane; extracellular exosome; cellular response to calcium ion; self proteolysis; cell-cell adhesion; periciliary membrane compartment; USH2 complex	0.5038	0.02499	1	0.5909090909090909	0.6363636363636364	0.0	0.125	0.125
ADIPOR1	I14_OG000423	Q96A54	ENSG00000159346	adiponectin receptor 1	GO:0005515; GO:0005886; GO:0009755; GO:0010633; GO:0010719; GO:0010906; GO:0016020; GO:0019216; GO:0019395; GO:0019901; GO:0030308; GO:0033210; GO:0033211; GO:0038023; GO:0042593; GO:0042802; GO:0046426; GO:0046427; GO:0046628; GO:0046872; GO:0055100; GO:0097003; GO:0120162; GO:1901223	protein binding; plasma membrane; hormone-mediated signaling pathway; negative regulation of epithelial cell migration; negative regulation of epithelial to mesenchymal transition; regulation of glucose metabolic process; membrane; regulation of lipid metabolic process; fatty acid oxidation; protein kinase binding; negative regulation of cell growth; leptin-mediated signaling pathway; adiponectin-activated signaling pathway; signaling receptor activity; glucose homeostasis; identical protein binding; negative regulation of receptor signaling pathway via JAK-STAT; positive regulation of receptor signaling pathway via JAK-STAT; positive regulation of insulin receptor signaling pathway; metal ion binding; adiponectin binding; adipokinetic hormone receptor activity; positive regulation of cold-induced thermogenesis; negative regulation of non-canonical NF-kappaB signal transduction	0.4404	0.00046	1	0.9545454545454546	1.0	1.0	0.5625	0.5625
ADIPOR2	I14_OG000423	Q86V24	ENSG00000006831	adiponectin receptor 2	GO:0005515; GO:0005886; GO:0009755; GO:0019395; GO:0033211; GO:0038023; GO:0042593; GO:0042802; GO:0046872; GO:0055100; GO:0061042; GO:0097003; GO:0120162	protein binding; plasma membrane; hormone-mediated signaling pathway; fatty acid oxidation; adiponectin-activated signaling pathway; signaling receptor activity; glucose homeostasis; identical protein binding; metal ion binding; adiponectin binding; vascular wound healing; adipokinetic hormone receptor activity; positive regulation of cold-induced thermogenesis	0.4404	0.00046	1	0.9545454545454546	1.0	1.0	0.5625	0.5625
ADIPOR2	I14_OG000423	Q86V24	ENSG00000285070	adiponectin receptor 2	GO:0005515; GO:0005886; GO:0009755; GO:0019395; GO:0033211; GO:0038023; GO:0042593; GO:0042802; GO:0046872; GO:0055100; GO:0061042; GO:0097003; GO:0120162	protein binding; plasma membrane; hormone-mediated signaling pathway; fatty acid oxidation; adiponectin-activated signaling pathway; signaling receptor activity; glucose homeostasis; identical protein binding; metal ion binding; adiponectin binding; vascular wound healing; adipokinetic hormone receptor activity; positive regulation of cold-induced thermogenesis	0.4404	0.00046	1	0.9545454545454546	1.0	1.0	0.5625	0.5625
AGA	I14_OG001109	P20933	ENSG00000038002	aspartylglucosaminidase	GO:0003948; GO:0005515; GO:0005576; GO:0005615; GO:0005737; GO:0005764; GO:0005783; GO:0006508; GO:0006517; GO:0008233; GO:0035578	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity; protein binding; extracellular region; extracellular space; cytoplasm; lysosome; endoplasmic reticulum; proteolysis; protein deglycosylation; peptidase activity; azurophil granule lumen	0.6145	5e-04	1.0	0.8636363636363636	0.9090909090909091	0.0	0.25	0.25
