number	bait	prey	IPTM	PTM	IPTMavg	PTMavg	RATIO	PEAK	PEAKavg	scaled_PEAK	scaled_PEAKavg	max_scaled_PEAK	mean_top3_scaled_PEAK
776	HsUFM1	Q9NSC2	0.39:0.332:0.331:0.31:0.287	0.203:0.208:0.204:0.207:0.204	0.33	0.2052	1.60819	14.38:16.61:15.78:15.66:18.73	16.232	0.521:0.446:0.474:0.478:0.376	0.459	0.521	0.491
222	HsUFM1	Q9BXA9	0.422:0.348:0.32:0.294:0.289	0.211:0.206:0.211:0.21:0.207	0.3346	0.209	1.60096	14.24:15.48:16.77:17.25:18.23	16.394	0.525:0.484:0.441:0.425:0.392	0.454	0.525	0.48333333333333334
179	HsUFM1	Q92766	0.506:0.389:0.323:0.32:0.301	0.237:0.24:0.231:0.238:0.232	0.3678	0.2356	1.56112	12.5:14.68:18.34:19.67:19.47	16.932	0.583:0.511:0.389:0.344:0.351	0.436	0.583	0.49433333333333335
115	HsUFM1	P49796	0.427:0.424:0.403:0.374:0.368	0.257:0.255:0.262:0.252:0.255	0.3992	0.2562	1.55816	10.42:12.77:10.47:11.11:11.79	11.312	0.653:0.574:0.651:0.63:0.607	0.623	0.653	0.6446666666666667
258	HsUFM1	Q9UJQ4	0.371:0.33:0.292:0.282:0.266	0.199:0.2:0.196:0.202:0.197	0.3082	0.1988	1.5503	12.58:15.09:16.45:17.45:17.38	15.79	0.581:0.497:0.452:0.418:0.421	0.474	0.581	0.51
536	HsUFM1	Q641Q2	0.402:0.3:0.275:0.274:0.264	0.193:0.198:0.195:0.201:0.194	0.303	0.1962	1.54434	12.66:17.25:17.98:18.48:20.61	17.396	0.578:0.425:0.401:0.384:0.313	0.42	0.578	0.46799999999999997
594	HsUFM1	Q9Y467	0.436:0.327:0.31:0.312:0.274	0.216:0.222:0.218:0.21:0.209	0.3318	0.215	1.54326	11.26:14.42:15.44:14.57:17.38	14.614	0.625:0.519:0.485:0.514:0.421	0.513	0.625	0.5526666666666666
273	HsUFM1	O60315	0.386:0.32:0.318:0.289:0.281	0.207:0.207:0.205:0.21:0.208	0.3188	0.2074	1.53713	11.63:16.12:12.83:17.61:18	15.238	0.612:0.463:0.572:0.413:0.4	0.492	0.612	0.5489999999999999
101	HsUFM1	P30622	0.44:0.397:0.33:0.25:0.214	0.208:0.208:0.209:0.214:0.227	0.3262	0.2132	1.53002	14:14.26:15.08:21.59:23.95	17.776	0.533:0.525:0.497:0.28:0.202	0.407	0.533	0.5183333333333333
744	HsUFM1	O14924	0.42:0.403:0.401:0.39:0.379	0.264:0.261:0.259:0.266:0.262	0.3986	0.2624	1.51905	11.97:11.84:12.71:12.41:12.89	12.364	0.601:0.605:0.576:0.586:0.57	0.588	0.605	0.5973333333333333
401	HsUFM1	Q9Y4E1	0.347:0.322:0.265:0.265:0.264	0.191:0.197:0.198:0.193:0.196	0.2926	0.195	1.50051	14.7:15.27:18.8:19.48:19.77	17.604	0.51:0.491:0.373:0.351:0.341	0.413	0.51	0.458
595	HsUFM1	Q9Y426	0.608:0.501:0.379:0.366:0.317	0.306:0.299:0.304:0.285:0.319	0.4342	0.3026	1.4349	7.22:9.38:11.7:12.26:14.34	10.98	0.759:0.687:0.61:0.591:0.522	0.634	0.759	0.68533333333333335
132	HsUFM1	P57071	0.467:0.379:0.339:0.332:0.286	0.252:0.25:0.267:0.247:0.254	0.3606	0.254	1.41969	11.46:15.73:15.34:16.72:18.67	15.584	0.618:0.476:0.489:0.443:0.378	0.481	0.618	0.5276666666666666
617	HsUFM1	Q8WW38	0.388:0.317:0.3:0.299:0.28	0.232:0.223:0.226:0.222:0.221	0.3168	0.2248	1.40925	15.2:16:15.74:15.28:17.75	15.994	0.493:0.467:0.475:0.491:0.408	0.467	0.493	0.48633333333333334
213	HsUFM1	Q96JB5	0.843:0.832:0.817:0.809:0.78	0.577:0.593:0.596:0.576:0.582	0.8162	0.5848	1.39569	1.22:1.49:1.35:1.38:2.16	1.52	0.959:0.95:0.955:0.954:0.928	0.949	0.959	0.956
553	HsUFM1	O95684	0.656:0.29:0.283:0.259:0.234	0.263:0.258:0.247:0.241:0.248	0.3444	0.2514	1.36993	3.04:9:10.73:12.66:15.59	10.204	0.899:0.7:0.642:0.578:0.48	0.66	0.899	0.747
107	HsUFM1	Q9UKJ3	0.336:0.321:0.285:0.227:0.217	0.21:0.199:0.198:0.194:0.215	0.2772	0.2032	1.36417	17.08:16.53:18.67:23.78:23.3	19.872	0.431:0.449:0.378:0.207:0.223	0.338	0.449	0.41933333333333334
726	HsUFM1	Q5VZP5	0.875:0.32:0.304:0.295:0.292	0.33:0.293:0.321:0.29:0.298	0.4172	0.3064	1.36162	2.37:16.11:16.14:18.38:18.44	14.288	0.921:0.463:0.462:0.387:0.385	0.524	0.921	0.6153333333333334
473	HsUFM1	Q5U5Q3	0.682:0.245:0.223:0.21:0.203	0.253:0.221:0.222:0.225:0.228	0.3126	0.2298	1.36031	5.73:14.96:17.31:18.78:18.72	15.1	0.809:0.501:0.423:0.374:0.376	0.497	0.809	0.5776666666666667
277	HsUFM1	Q9Y2Y4	0.687:0.457:0.371:0.21:0.167	0.273:0.282:0.279:0.277:0.288	0.3784	0.2798	1.35239	4.41:7.89:9.7:14.84:17.89	10.946	0.853:0.737:0.677:0.505:0.404	0.635	0.853	0.7556666666666667
81	HsUFM1	Q8WUU4	0.508:0.29:0.284:0.27:0.248	0.258:0.238:0.249:0.236:0.234	0.32	0.243	1.31687	7.28:12.72:11.62:11.17:12.84	11.126	0.757:0.576:0.613:0.628:0.572	0.629	0.757	0.666
723	HsUFM1	Q8TDX9	0.641:0.578:0.577:0.559:0.549	0.457:0.443:0.445:0.458:0.448	0.5808	0.4502	1.29009	7:10.83:9.96:9.22:11.23	9.648	0.767:0.639:0.668:0.693:0.626	0.678	0.767	0.7093333333333334
714	HsUFM1	Q92945	0.301:0.291:0.272:0.242:0.235	0.217:0.214:0.21:0.21:0.206	0.2682	0.2114	1.26868	13.14:14.05:15.7:18.88:17.14	15.782	0.562:0.532:0.477:0.371:0.429	0.474	0.562	0.5236666666666667
562	HsUFM1	Q9GZZ9	0.935:0.933:0.878:0.853:0.838	0.715:0.705:0.694:0.702:0.692	0.8874	0.7016	1.26482	0.99:0.98:1.28:1.9:2.46	1.522	0.967:0.967:0.957:0.937:0.918	0.949	0.967	0.9636666666666667
231	HsUFM1	P29536	0.736:0.654:0.426:0.266:0.253	0.412:0.397:0.367:0.338:0.347	0.467	0.3722	1.2547	3.58:6.48:8.23:12.64:13.84	8.954	0.881:0.784:0.726:0.579:0.539	0.702	0.881	0.797
271	HsUFM1	A8MVX0	0.65:0.543:0.226:0.223:0.181	0.303:0.284:0.303:0.303:0.301	0.3646	0.2988	1.22021	5.43:8.8:18.16:21.27:23.92	15.516	0.819:0.707:0.395:0.291:0.203	0.483	0.819	0.6403333333333333
451	HsUFM1	Q9H307	0.403:0.389:0.331:0.311:0.258	0.283:0.279:0.276:0.257:0.297	0.3384	0.2784	1.21552	10:11.52:12.8:14.46:15.77	12.91	0.667:0.616:0.573:0.518:0.474	0.57	0.667	0.6186666666666667
129	HsUFM1	A0AUZ9	0.256:0.247:0.232:0.219:0.219	0.19:0.197:0.194:0.195:0.193	0.2346	0.1938	1.21053	18.73:20.22:17.86:20.52:19.61	19.388	0.376:0.326:0.405:0.316:0.346	0.354	0.405	0.37566666666666665
615	HsUFM1	Q96AE4	0.308:0.273:0.25:0.209:0.196	0.218:0.212:0.205:0.211:0.208	0.2472	0.2108	1.17268	14.43:14.27:16.58:19.03:21.38	17.138	0.519:0.524:0.447:0.366:0.287	0.429	0.524	0.4966666666666667
75	HsUFM1	Q460N5	0.467:0.469:0.384:0.379:0.283	0.359:0.318:0.34:0.345:0.331	0.3964	0.3386	1.1707	11.59:11.22:12.41:14.4:19.52	13.828	0.614:0.626:0.586:0.52:0.349	0.539	0.626	0.6086666666666667
350	HsUFM1	O43566	0.768:0.315:0.306:0.28:0.268	0.385:0.323:0.323:0.32:0.32	0.3874	0.3342	1.15919	3.71:11.02:10.12:13.25:11.41	9.902	0.876:0.633:0.663:0.558:0.62	0.67	0.876	0.724
573	HsUFM1	Q9ULJ3	0.331:0.265:0.258:0.247:0.222	0.229:0.23:0.229:0.229:0.226	0.2646	0.2286	1.15748	13.87:18.7:16.52:19.83:19.66	17.716	0.538:0.377:0.449:0.339:0.345	0.409	0.538	0.45466666666666666
640	HsUFM1	Q9NQC3	0.33:0.294:0.289:0.268:0.176	0.234:0.239:0.243:0.231:0.24	0.2714	0.2374	1.14322	16.11:17.55:17.42:19.25:25.06	19.078	0.463:0.415:0.419:0.358:0.165	0.364	0.463	0.43233333333333335
17	HsUFM1	Q86WI3	0.684:0.625:0.604:0.521:0.476	0.524:0.523:0.498:0.503:0.527	0.582	0.515	1.1301	6.62:7.47:7.8:9.62:10.34	8.37	0.779:0.751:0.74:0.679:0.655	0.721	0.779	0.7566666666666667
508	HsUFM1	P49771	0.725:0.537:0.422:0.381:0.231	0.472:0.443:0.41:0.397:0.358	0.4592	0.416	1.10385	1.87:5.4:7.91:6.7:11.22	6.62	0.938:0.82:0.736:0.777:0.626	0.779	0.938	0.845
51	HsUFM1	O94851	0.51:0.418:0.415:0.411:0.345	0.384:0.382:0.385:0.375:0.378	0.4198	0.3808	1.10242	10.99:11.33:14.49:15.66:18.77	14.248	0.634:0.622:0.517:0.478:0.374	0.525	0.634	0.591
719	HsUFM1	Q99558	0.648:0.506:0.414:0.403:0.372	0.431:0.425:0.432:0.412:0.43	0.4686	0.426	1.1	7.37:10.45:10.45:10.69:11.16	10.024	0.754:0.652:0.652:0.644:0.628	0.666	0.754	0.686
731	HsUFM1	Q7Z3B3	0.276:0.234:0.229:0.225:0.224	0.231:0.223:0.232:0.205:0.2	0.2376	0.2182	1.08891	17.3:20.58:19.25:21.03:20.33	19.698	0.423:0.314:0.358:0.299:0.322	0.343	0.423	0.36766666666666664
551	HsUFM1	Q96I24	0.281:0.267:0.253:0.219:0.152	0.222:0.216:0.224:0.221:0.214	0.2344	0.2194	1.06837	14.96:14.3:16.28:18.14:18.75	16.486	0.501:0.523:0.457:0.395:0.375	0.45	0.523	0.4936666666666667
296	HsUFM1	A1L020	0.41:0.274:0.229:0.209:0.198	0.251:0.273:0.242:0.235:0.236	0.264	0.2474	1.0671	11.48:16.36:16.78:16.23:17.05	15.58	0.617:0.455:0.441:0.459:0.432	0.481	0.617	0.5103333333333333
728	HsUFM1	Q9UEG4	0.316:0.224:0.219:0.212:0.203	0.268:0.218:0.205:0.205:0.214	0.2348	0.222	1.05766	16.64:19.22:18.34:19.78:21.97	19.19	0.445:0.359:0.389:0.341:0.268	0.36	0.445	0.39766666666666667
55	HsUFM1	Q96QU1	0.498:0.427:0.321:0.25:0.233	0.334:0.325:0.348:0.311:0.317	0.3458	0.327	1.05749	12.51:13.14:19.7:24.38:26.09	19.164	0.583:0.562:0.343:0.187:0.13	0.361	0.583	0.496
59	HsUFM1	Q9Y2T1	0.399:0.251:0.252:0.23:0.226	0.253:0.264:0.257:0.259:0.257	0.2716	0.258	1.05271	14.56:16.48:18.2:19.73:19.98	17.79	0.515:0.451:0.393:0.342:0.334	0.407	0.515	0.453
503	HsUFM1	Q9NUQ7	0.939:0.93:0.922:0.919:0.922	0.885:0.883:0.883:0.89:0.878	0.9264	0.8838	1.0482	0.99:1.14:1.08:1.26:1.15	1.124	0.967:0.962:0.964:0.958:0.962	0.963	0.967	0.9643333333333333
342	HsUFM1	Q5JR59	0.251:0.234:0.22:0.201:0.207	0.22:0.211:0.216:0.228:0.196	0.2226	0.2142	1.03922	20.95:20.53:22.69:24.27:23.58	22.404	0.302:0.316:0.244:0.191:0.214	0.253	0.316	0.28733333333333333
780	HsUFM1	Q9NSC7	0.85:0.526:0.52:0.472:0.458	0.58:0.548:0.545:0.544:0.539	0.5652	0.5512	1.0254	2.23:5.99:5.9:6.73:7.25	5.62	0.926:0.8:0.803:0.776:0.758	0.813	0.926	0.8430000000000001
191	HsUFM1	Q68DK2	0.766:0.322:0.312:0.312:0.274	0.421:0.392:0.375:0.366:0.389	0.3972	0.3886	1.02213	6.02:21.56:21.66:23.95:25.02	19.642	0.799:0.281:0.278:0.202:0.166	0.345	0.799	0.4526666666666667
255	HsUFM1	Q6ZTQ4	0.61:0.537:0.479:0.438:0.355	0.485:0.464:0.487:0.485:0.46	0.4838	0.4762	1.01596	6.73:8.38:10.1:9.21:11.69	9.222	0.776:0.721:0.663:0.693:0.61	0.693	0.776	0.73
484	HsUFM1	Q7RTP6	0.47:0.415:0.405:0.374:0.344	0.397:0.4:0.391:0.393:0.396	0.4016	0.3954	1.01568	10.45:12.41:14.83:17:19.09	14.756	0.652:0.586:0.506:0.433:0.364	0.508	0.652	0.5813333333333334
251	HsUFM1	O15169	0.328:0.294:0.241:0.225:0.212	0.262:0.259:0.256:0.262:0.253	0.26	0.2584	1.00619	16.92:17.69:19.83:18.56:20.06	18.612	0.436:0.41:0.339:0.381:0.331	0.38	0.436	0.409
86	HsUFM1	Q8IZ20	0.313:0.26:0.234:0.239:0.22	0.29:0.263:0.251:0.219:0.24	0.2532	0.2526	1.00238	10.41:13.3:14.59:15.18:15.62	13.82	0.653:0.557:0.514:0.494:0.479	0.539	0.653	0.5746666666666667
214	HsUFM1	Q8N7P1	0.912:0.895:0.699:0.686:0.58	0.778:0.774:0.744:0.744:0.728	0.7544	0.7536	1.00106	1.15:1.66:3.64:4.64:6.43	3.504	0.962:0.945:0.879:0.845:0.786	0.883	0.962	0.9286666666666666
639	HsUFM1	Q00341	0.625:0.314:0.199:0.208:0.208	0.333:0.291:0.34:0.296:0.293	0.3108	0.3106	1.00064	8.95:14.55:24.83:23.73:23.17	19.046	0.702:0.515:0.172:0.209:0.228	0.365	0.702	0.48166666666666663
171	HsUFM1	Q9H2Y7	0.436:0.381:0.32:0.286:0.286	0.358:0.329:0.351:0.339:0.335	0.3418	0.3424	0.998248	14.55:15.87:14.92:20.42:20.14	17.18	0.515:0.471:0.503:0.319:0.329	0.427	0.515	0.49633333333333335
259	HsUFM1	Q6ZWJ8	0.389:0.388:0.346:0.349:0.227	0.35:0.348:0.353:0.335:0.333	0.3398	0.3438	0.988365	14.84:15.23:17.33:17.44:24.73	17.914	0.505:0.492:0.422:0.419:0.176	0.403	0.505	0.473
306	HsUFM1	Q6NVU6	0.919:0.919:0.916:0.912:0.893	0.927:0.924:0.927:0.926:0.919	0.9118	0.9246	0.986156	0.95:0.94:0.96:0.97:1.06	0.976	0.968:0.969:0.968:0.968:0.965	0.967	0.969	0.9683333333333333
452	HsUFM1	Q53GL7	0.38:0.34:0.325:0.316:0.302	0.338:0.339:0.341:0.343:0.327	0.3326	0.3376	0.98519	11.49:13.96:13.45:14.55:14.6	13.61	0.617:0.535:0.552:0.515:0.513	0.546	0.617	0.5680000000000001
398	HsUFM1	Q96PY6	0.347:0.339:0.323:0.307:0.253	0.321:0.33:0.317:0.319:0.314	0.3138	0.3202	0.980012	14.15:15.68:16.41:17.03:20.92	16.838	0.528:0.477:0.453:0.432:0.303	0.439	0.528	0.486
476	HsUFM1	Q13233	0.464:0.383:0.291:0.267:0.262	0.341:0.343:0.346:0.34:0.338	0.3334	0.3416	0.975995	11.4:14.2:20.17:21.45:21.31	17.706	0.62:0.527:0.328:0.285:0.29	0.41	0.62	0.4916666666666667
770	HsUFM1	Q8IX29	0.433:0.334:0.275:0.188:0.138	0.321:0.304:0.269:0.26:0.249	0.2736	0.2806	0.975053	7.6:10.48:11.93:16.73:19.8	13.308	0.747:0.651:0.602:0.442:0.34	0.556	0.747	0.6666666666666666
317	HsUFM1	Q9H4Q3	0.327:0.315:0.298:0.291:0.256	0.312:0.311:0.308:0.308:0.302	0.2974	0.3082	0.964958	10.2:11.05:12.26:13.4:15.47	12.476	0.66:0.632:0.591:0.553:0.484	0.584	0.66	0.6276666666666667
479	HsUFM1	O14523	0.479:0.342:0.308:0.244:0.235	0.364:0.31:0.331:0.331:0.332	0.3216	0.3336	0.964029	9:14.33:14.02:17.59:16.2	14.228	0.7:0.522:0.533:0.414:0.46	0.526	0.7	0.585
578	HsUFM1	Q6ZSI9	0.879:0.843:0.766:0.757:0.686	0.831:0.829:0.82:0.8:0.844	0.7862	0.8248	0.953201	1.11:1.31:1.5:1.5:1.5	1.384	0.963:0.956:0.95:0.95:0.95	0.954	0.963	0.9563333333333333
420	HsUFM1	Q8N1W2	0.242:0.249:0.241:0.227:0.195	0.267:0.234:0.238:0.244:0.234	0.2308	0.2434	0.948233	16.5:16.16:17.12:17.72:19.56	17.412	0.45:0.461:0.429:0.409:0.348	0.42	0.461	0.44666666666666666
789	HsUFM1	Q9UF56	0.649:0.602:0.497:0.43:0.427	0.566:0.558:0.548:0.544:0.539	0.521	0.551	0.945554	5.41:4.93:6.77:7.48:6.84	6.286	0.82:0.836:0.774:0.751:0.772	0.79	0.836	0.8099999999999999
76	HsUFM1	Q9BYN7	0.473:0.318:0.278:0.209:0.192	0.33:0.34:0.316:0.334:0.237	0.294	0.3114	0.944123	13.03:17.44:15.59:20.67:22.39	17.824	0.566:0.419:0.48:0.311:0.254	0.406	0.566	0.4883333333333333
597	HsUFM1	Q96M96	0.365:0.344:0.332:0.299:0.274	0.363:0.333:0.366:0.352:0.316	0.3228	0.346	0.932948	11.9:12.79:13.18:13.3:16.3	13.494	0.603:0.574:0.561:0.557:0.457	0.55	0.603	0.5793333333333334
568	HsUFM1	Q5JSP0	0.508:0.379:0.312:0.272:0.251	0.404:0.383:0.377:0.349:0.348	0.3444	0.3722	0.925309	9.18:10.19:13.96:14.76:17.25	13.068	0.694:0.66:0.535:0.508:0.425	0.564	0.694	0.6296666666666667
556	HsUFM1	Q8N3C7	0.383:0.378:0.359:0.351:0.343	0.401:0.395:0.395:0.395:0.392	0.3628	0.3956	0.917088	9.27:8.28:9.8:8.77:9.45	9.114	0.691:0.724:0.673:0.708:0.685	0.696	0.724	0.7076666666666667
324	HsUFM1	P19878	0.477:0.339:0.327:0.316:0.296	0.4:0.384:0.379:0.377:0.379	0.351	0.3838	0.914539	8.69:9.52:11.1:10.49:10.97	10.154	0.71:0.683:0.63:0.65:0.634	0.662	0.71	0.681
461	HsUFM1	Q6ZNL6	0.441:0.28:0.274:0.263:0.26	0.338:0.324:0.339:0.331:0.333	0.3036	0.333	0.911712	12.47:18.16:19.58:21.56:21.08	18.57	0.584:0.395:0.347:0.281:0.297	0.381	0.584	0.442
675	HsUFM1	Q96Q89	0.352:0.335:0.332:0.304:0.291	0.356:0.356:0.35:0.361:0.354	0.3228	0.3554	0.908272	17.42:19.22:18.5:20.16:22.39	19.538	0.419:0.359:0.383:0.328:0.254	0.349	0.419	0.387
654	HsUFM1	O60336	0.671:0.533:0.522:0.48:0.387	0.576:0.572:0.571:0.572:0.564	0.5186	0.571	0.908231	6.48:7.43:6.85:9.52:15.07	9.07	0.784:0.752:0.772:0.683:0.498	0.698	0.784	0.7693333333333333
440	HsUFM1	Q9NTG1	0.493:0.456:0.439:0.398:0.253	0.455:0.438:0.447:0.456:0.458	0.4078	0.4508	0.904614	13.09:13.34:13.38:15.46:23.64	15.782	0.564:0.555:0.554:0.485:0.212	0.474	0.564	0.5576666666666666
696	HsUFM1	Q8IZU9	0.778:0.493:0.339:0.286:0.249	0.497:0.483:0.461:0.479:0.473	0.429	0.4786	0.896364	3.7:8.84:13.09:13.96:15.57	11.032	0.877:0.705:0.564:0.535:0.481	0.632	0.877	0.7153333333333333
189	HsUFM1	O75443	0.616:0.414:0.397:0.33:0.277	0.475:0.447:0.445:0.466:0.437	0.4068	0.454	0.896035	8.41:15.62:17.09:21.08:23.42	17.124	0.72:0.479:0.43:0.297:0.219	0.429	0.72	0.5429999999999999
448	HsUFM1	Q9NQV7	0.282:0.27:0.262:0.242:0.241	0.295:0.296:0.294:0.285:0.281	0.2594	0.2902	0.893866	15.42:16.97:17.92:19.84:19.06	17.842	0.486:0.434:0.403:0.339:0.365	0.405	0.486	0.441
458	HsUFM1	Q9UDT6	0.253:0.2:0.184:0.165:0.161	0.209:0.232:0.211:0.225:0.204	0.1926	0.2162	0.890842	19.3:22.28:24.16:25.72:25.88	23.468	0.357:0.257:0.195:0.143:0.137	0.218	0.357	0.26966666666666667
260	HsUFM1	Q6P3R8	0.47:0.345:0.333:0.329:0.248	0.404:0.394:0.382:0.389:0.378	0.345	0.3894	0.885978	7.25:13.45:14.49:13.39:17.83	13.282	0.758:0.552:0.517:0.554:0.406	0.557	0.758	0.6213333333333334
509	HsUFM1	Q9H116	0.261:0.244:0.231:0.218:0.21	0.312:0.247:0.261:0.252:0.249	0.2328	0.2642	0.881151	15.55:16.98:17.89:18.52:19.22	17.632	0.482:0.434:0.404:0.383:0.359	0.412	0.482	0.44
278	HsUFM1	Q9Y2U5	0.715:0.438:0.36:0.289:0.198	0.498:0.454:0.449:0.444:0.43	0.4	0.455	0.879121	3.41:9.97:10.93:13.55:19.23	11.418	0.886:0.668:0.636:0.548:0.359	0.619	0.886	0.73
304	HsUFM1	Q96BY9	0.552:0.299:0.263:0.236:0.214	0.422:0.361:0.347:0.334:0.339	0.3128	0.3606	0.867443	3.56:6.53:9.34:10.62:14.09	8.828	0.881:0.782:0.689:0.646:0.53	0.706	0.881	0.784
596	HsUFM1	P0DP72	0.808:0.577:0.322:0.306:0.281	0.571:0.539:0.517:0.52:0.5	0.4588	0.5294	0.866641	3.09:8.91:13.49:13.37:15.3	10.832	0.897:0.703:0.55:0.554:0.49	0.639	0.897	0.718
572	HsUFM1	Q3ZCN5	0.692:0.471:0.322:0.335:0.275	0.455:0.522:0.507:0.438:0.51	0.419	0.4864	0.861431	6.08:14.66:20.72:20.62:21.19	16.654	0.797:0.511:0.309:0.313:0.294	0.445	0.797	0.5403333333333333
