dataset	event_id	GeneID	event_type	inc_tx	exc_tx	alignment_score	len_inc	len_exc
UFM1_dependent_dPSI_positive	chr1|+|161213863|161214299|161213863|161213921|161214155|161214299	ENSG00000158864	RI	ENST00000677138	ENST00000367993	0.8034557235421166	372	463
UFM1_dependent_dPSI_positive	chr20|+|21244244|21246622|21244244|21244288|21246478|21246622	ENSG00000088970	RI	ENST00000616679	ENST00000611685	0.8189102564102564	521	624
UFM1_dependent_dPSI_positive	chr3|-|50349385|50349828|50349385|50349490|50349664|50349828	ENSG00000114388	RI	ENST00000451194	ENST00000232501	0.18110236220472442	87	380
UFM1_dependent_dPSI_positive	chr1|-|248855557|248855946|248855557|248855635|248855724|248855946	ENSG00000171163	RI	ENST00000412341	ENST00000306601	0.16377649325626203	105	519
UFM1_dependent_dPSI_positive	chr1|+|32204597|32205387|32204597|32204620|32205193|32205387	ENSG00000160050	RI	ENST00000421922	ENST00000373602	0.7634854771784232	241	200
UFM1_dependent_dPSI_positive	chr2|-|229858771|229859574|229858771|229858831|229858918|229859574	ENSG00000153827	RI	ENST00000283943	ENST00000343290	0.04969879518072289	1992	99
UFM1_dependent_dPSI_positive	chr14|-|35688458|35690003|35688458|35688540|35689835|35690003	ENSG00000174373	RI	ENST00000637992	ENST00000307138	0.8001573564122738	2495	2083
UFM1_dependent_dPSI_positive	chr1|+|1626836|1627207|1626836|1626999|1627073|1627207	ENSG00000197530	RI	ENST00000506488	ENST00000355826	0.4073298429319372	395	955
UFM1_dependent_dPSI_positive	chr1|-|1722587|1722831|1722587|1722634|1722707|1722831	ENSG00000008128	RI	ENST00000356200	ENST00000357760	0.9290240811153359	746	779
UFM1_dependent_dPSI_positive	chr4|+|128107138|128108901|128107138|128107313|128107882|128108901	ENSG00000138709	RI	ENST00000432347	ENST00000326639	0.37199124726477023	358	914
UFM1_dependent_dPSI_positive	chr11|-|134156751|134157095|134156751|134156818|134157017|134157095	ENSG00000151503	RI	ENST00000690149	ENST00000525964	0.13942307692307693	119	832
UFM1_dependent_dPSI_positive	chr9|+|131509902|131510415|131509902|131509996|131510259|131510415	ENSG00000130714	RI	ENST00000677295	ENST00000341012	0.028315946348733235	41	671
UFM1_dependent_dPSI_positive	chr20|-|44619521|44620401|44619521|44619847|44620298|44620401	ENSG00000196839	RI	ENST00000695992	ENST00000372874	0.721763085399449	263	363
UFM1_dependent_dPSI_positive	chr5|-|179853196|179853437|179853196|179853276|179853377|179853437	ENSG00000161010	RI	ENST00000522157	ENST00000292586	0.1836734693877551	93	343
UFM1_dependent_dPSI_positive	chr11|+|563188|563478|563188|563317|563395|563478	ENSG00000099849	RI	ENST00000531112	ENST00000397582	0.5727002967359051	194	337
UFM1_dependent_dPSI_positive	chr1|+|7829836|7830161|7829836|7829951|7830005|7830161	ENSG00000049246	RI	ENST00000361923	ENST00000377532	0.9925619834710744	1201	1210
UFM1_dependent_dPSI_positive	chr1|-|11680352|11680613|11680352|11680471|11680561|11680613	ENSG00000116670	RI	ENST00000445656	ENST00000235310	0.6929460580912863	197	211
UFM1_dependent_dPSI_positive	chr1|-|153976692|153977013|153976692|153976775|153976975|153977013	ENSG00000143543	RI	ENST00000356648	ENST00000271843	0.7671232876712328	117	146
UFM1_dependent_dPSI_positive	chr1|-|154601040|154602626|154601040|154601888|154602035|154602626	ENSG00000160710	RI	ENST00000368471	ENST00000648871	0.37593984962406013	931	350
UFM1_dependent_dPSI_positive	chr2|+|15627053|15628839|15627053|15628710|15628796|15628839	ENSG00000079785	RI	ENST00000677355	ENST00000233084	0.4702702702702703	358	740
UFM1_dependent_dPSI_positive	chr1|+|235435744|235436608|235435744|235435840|235436385|235436608	ENSG00000284770	RI	ENST00000644037	ENST00000366601	0.26939655172413796	127	464
UFM1_dependent_dPSI_positive	chr1|+|235436385|235436608|235436385|235436450|235436543|235436608	ENSG00000284770	RI	ENST00000644838	ENST00000366601	0.3484848484848485	311	464
UFM1_dependent_dPSI_positive	chr1|+|43995600|43995856|43995600|43995670|43995777|43995856	ENSG00000159214	RI	ENST00000463846	ENST00000372318	0.1563517915309446	59	307
UFM1_dependent_dPSI_positive	chr8|+|11769709|11770335|11769709|11769791|11770173|11770335	ENSG00000154328	RI	ENST00000284503	ENST00000403422	0.8162650602409639	332	271
UFM1_dependent_dPSI_positive	chr2|-|38602437|38603036|38602437|38602600|38602856|38603036	ENSG00000143889	RI	ENST00000608859	ENST00000358367	0.9870848708487084	542	537
UFM1_dependent_dPSI_positive	chr5|+|43161248|43161931|43161248|43161613|43161708|43161931	ENSG00000172262	RI	ENST00000507218	ENST00000306938	0.13582342954159593	83	589
UFM1_dependent_dPSI_positive	chr3|+|128909343|128910149|128909343|128909421|128910020|128910149	ENSG00000177646	RI	ENST00000681886	ENST00000308982	0.355877616747182	234	621
UFM1_dependent_dPSI_positive	chr5|+|140668233|140668502|140668233|140668334|140668414|140668502	ENSG00000120314	RI	ENST00000506393	ENST00000358337	0.2924281984334204	137	383
UFM1_dependent_dPSI_positive	chr5|-|95516524|95517060|95516524|95516586|95516671|95517060	ENSG00000198677	RI	ENST00000513232	ENST00000358746	0.26278772378516624	415	1564
UFM1_dependent_dPSI_positive	chr11|+|709552|710486|709552|709608|710421|710486	ENSG00000177106	RI	ENST00000526909	ENST00000318562	0.04895104895104895	35	715
UFM1_dependent_dPSI_positive	chr14|+|103334236|103334597|103334236|103334260|103334388|103334597	ENSG00000100664	RI	ENST00000560763	ENST00000216554	0.11832946635730858	51	431
UFM1_dependent_dPSI_positive	chr4|-|127920556|127921771|127920556|127920836|127921523|127921771	ENSG00000164073	RI	ENST00000641870	ENST00000296468	0.38803088803088803	229	518
UFM1_dependent_dPSI_positive	chr7|-|103099775|103103554|103099775|103103122|103103423|103103554	ENSG00000161048	RI	ENST00000465647	ENST00000341533	1.0	393	393
UFM1_dependent_dPSI_positive	chr12|-|6333068|6333516|6333068|6333147|6333366|6333516	ENSG00000067182	RI	ENST00000440083	ENST00000162749	0.8617424242424242	528	455
UFM1_dependent_dPSI_positive	chr19|+|38403337|38403694|38403337|38403486|38403559|38403694	ENSG00000130244	RI	ENST00000589029	ENST00000252530	0.045454545454545456	56	349
UFM1_dependent_dPSI_positive	chr7|-|44074130|44074530|44074130|44074220|44074397|44074530	ENSG00000122678	RI	ENST00000434229	ENST00000242248	0.4716599190283401	233	494
UFM1_dependent_dPSI_positive	chr7|+|66075833|66076093|66075833|66075856|66076038|66076093	ENSG00000126522	RI	ENST00000672498	ENST00000304874	0.33189655172413796	163	464
UFM1_dependent_dPSI_positive	chr8|-|143612617|143613295|143612617|143612965|143613195|143613295	ENSG00000104522	RI	ENST00000524719	ENST00000425753	0.18691588785046728	64	321
UFM1_dependent_dPSI_positive	chr7|-|151565345|151565885|151565345|151565383|151565719|151565885	ENSG00000106617	RI	ENST00000651836	ENST00000287878	0.14235500878734622	92	569
UFM1_dependent_dPSI_positive	chr8|+|17280238|17280443|17280238|17280297|17280374|17280443	ENSG00000155975	RI	ENST00000425020	ENST00000324849	0.3765586034912718	185	397
UFM1_dependent_dPSI_positive	chr8|-|143574784|143575345|143574784|143575093|143575229|143575345	ENSG00000147813	RI	ENST00000435154	ENST00000340490	0.8304794520547946	490	584
UFM1_dependent_dPSI_positive	chr1|+|154990158|154990528|154990158|154990257|154990338|154990528	ENSG00000160688	RI	ENST00000368428	ENST00000292180	0.21805792163543442	128	587
UFM1_dependent_dPSI_positive	chr2|+|219505457|219505761|219505457|219505555|219505714|219505761	ENSG00000144591	RI	ENST00000373917	ENST00000313597	0.8879492600422833	473	420
UFM1_dependent_dPSI_positive	chr2|+|73828966|73829510|73828966|73829070|73829404|73829510	ENSG00000124356	RI	ENST00000683718	ENST00000339566	0.25	128	424
UFM1_dependent_dPSI_positive	chr10|+|24544980|24547843|24544980|24545103|24545826|24547843	ENSG00000120549	RI	ENST00000376451	ENST00000307544	0.6361774744027304	1465	932
UFM1_dependent_dPSI_positive	chr2|-|219174777|219175108|219174777|219174906|219174987|219175108	ENSG00000115649	RI	ENST00000451647	ENST00000360507	0.585812356979405	283	410
UFM1_dependent_dPSI_positive	chr10|-|73575511|73576361|73575511|73575675|73575797|73576361	ENSG00000166348	RI	ENST00000680396	ENST00000339859	0.831353919239905	1413	1684
UFM1_dependent_dPSI_positive	chr19|-|35499957|35500580|35499957|35500029|35500532|35500580	ENSG00000161249	RI	ENST00000490622	ENST00000339686	0.031512605042016806	36	476
UFM1_dependent_dPSI_positive	chr20|-|32702702|32704071|32702702|32703458|32704022|32704071	ENSG00000149600	RI	ENST00000610160	ENST00000278980	0.205	57	200
UFM1_dependent_dPSI_negative	chrX|+|101531643|101533459|101531643|101532012|101533083|101533459	ENSG00000196440	RI	ENST00000433011	ENST00000354842	1.0	256	256
UFM1_dependent_dPSI_negative	chrX|-|38287093|38288041|38287093|38287245|38287860|38288041	ENSG00000156313	RI	ENST00000339363	ENST00000474584	0.46862745098039216	1020	480
UFM1_dependent_dPSI_negative	chr19|+|35766767|35768065|35766767|35766955|35767071|35768065	ENSG00000167595	RI	ENST00000620918	ENST00000396908	0.65625	324	480
UFM1_dependent_dPSI_negative	chr17|+|47619008|47619784|47619008|47619164|47619736|47619784	ENSG00000141279	RI	ENST00000677710	ENST00000322157	0.14332247557003258	166	919
UFM1_dependent_dPSI_negative	chr21|+|39405913|39406731|39405913|39406058|39406561|39406731	ENSG00000182093	RI	ENST00000649100	ENST00000415847	0.34104046242774566	103	139
UFM1_dependent_dPSI_negative	chr12|+|6457405|6457744|6457405|6457543|6457668|6457744	ENSG00000139192	RI	ENST00000266556	ENST00000544021	0.3617021276595745	468	185
UFM1_dependent_dPSI_negative	chr16|+|67228796|67229278|67228796|67228836|67228975|67229278	ENSG00000168701	RI	ENST00000565201	ENST00000304800	0.7630057803468208	140	173
UFM1_dependent_dPSI_negative	chr11|-|66284579|66284966|66284579|66284783|66284872|66284966	ENSG00000174851	RI	ENST00000471387	ENST00000359461	0.19672131147540983	158	241
UFM1_dependent_dPSI_negative	chr11|+|47161126|47162247|47161126|47161190|47161463|47162247	ENSG00000149179	RI	ENST00000395460	ENST00000278460	0.8277945619335347	274	331
UFM1_dependent_dPSI_negative	chr16|+|406684|406952|406684|406833|406889|406952	ENSG00000242612	RI	ENST00000445291	ENST00000219481	0.23972602739726026	81	292
UFM1_dependent_dPSI_negative	chr2|-|190974829|190975887|190974829|190975388|190975811|190975887	ENSG00000115415	RI	ENST00000698146	ENST00000361099	0.06666666666666667	62	750
UFM1_dependent_dPSI_negative	chr6|+|73479935|73480367|73479935|73480126|73480317|73480367	ENSG00000135297	RI	ENST00000679352	ENST00000370300	0.25523012552301255	192	717
UFM1_dependent_dPSI_negative	chr14|-|77283796|77285041|77283796|77283987|77284100|77285041	ENSG00000009830	RI	ENST00000682382	ENST00000261534	0.244	199	750
UFM1_dependent_dPSI_negative	chr1|-|108962308|108963453|108962308|108962469|108963360|108963453	ENSG00000121940	RI	ENST00000676306	ENST00000302500	0.32127659574468087	255	430
UFM1_dependent_dPSI_negative	chr1|-|108962308|108963467|108962308|108962469|108963380|108963467	ENSG00000121940	RI	ENST00000689103	ENST00000302500	0.7262931034482759	431	430
UFM1_dependent_dPSI_negative	chr1|-|19239230|19239985|19239230|19239302|19239817|19239985	ENSG00000127463	RI	ENST00000685099	ENST00000375199	0.036290322580645164	36	992
UFM1_dependent_dPSI_negative	chr1|-|235826339|235830424|235826339|235829039|235830225|235830424	ENSG00000143669	RI	ENST00000697182	ENST00000389793	0.019205472244146277	77	3801
UFM1_dependent_dPSI_negative	chr2|-|110163047|110164730|110163047|110163132|110164687|110164730	ENSG00000144061	RI	ENST00000675067	ENST00000316534	0.5593451568894953	410	733
UFM1_dependent_dPSI_negative	chr10|-|32932514|32933583|32932514|32932600|32933481|32933583	ENSG00000150093	RI	ENST00000474568	ENST00000302278	0.9471744471744472	809	798
UFM1_dependent_dPSI_negative	chr1|+|156731990|156732473|156731990|156732115|156732280|156732473	ENSG00000143303	RI	ENST00000484742	ENST00000368216	0.21052631578947367	100	475
UFM1_dependent_dPSI_negative	chr10|-|103097290|103098984|103097290|103097374|103098930|103098984	ENSG00000076685	RI	ENST00000674728	ENST00000343289	0.1051693404634581	62	561
UFM1_dependent_dPSI_negative	chr10|-|101023435|101024068|101023435|101023610|101023927|101024068	ENSG00000186862	RI	ENST00000474125	ENST00000370215	0.24564796905222436	133	517
UFM1_dependent_dPSI_negative	chr6|-|31156730|31157089|31156730|31156836|31157022|31157089	ENSG00000204536	RI	ENST00000428174	ENST00000376266	0.12376237623762376	126	782
UFM1_dependent_dPSI_negative	chr7|-|44074130|44074530|44074130|44074233|44074397|44074530	ENSG00000122678	RI	ENST00000434229	ENST00000242248	0.4716599190283401	233	494
UFM1_dependent_dPSI_negative	chr8|+|74361883|74363053|74361883|74361978|74362938|74363053	ENSG00000104381	RI	ENST00000674926	ENST00000220822	0.164804469273743	60	358
UFM1_dependent_dPSI_negative	chr9|+|130700866|130702310|130700866|130700935|130702133|130702310	ENSG00000130713	RI	ENST00000687420	ENST00000372351	0.28517110266159695	75	263
UFM1_independent_dPSI_positive	chrX|+|154420031|154420264|154420031|154420094|154420211|154420264	ENSG00000102125	RI	ENST00000369776	ENST00000426231	0.0749063670411985	262	34
UFM1_independent_dPSI_positive	chr22|-|50245674|50246092|50245674|50245827|50245909|50246092	ENSG00000100429	RI	ENST00000454936	ENST00000216271	0.5919282511210763	396	669
UFM1_independent_dPSI_positive	chr20|-|63698642|63700702|63698642|63700530|63700601|63700702	ENSG00000101246	RI	ENST00000614942	ENST00000607873	0.35323383084577115	121	154
UFM1_independent_dPSI_positive	chr20|+|43536096|43536458|43536096|43536294|43536408|43536458	ENSG00000185513	RI	ENST00000648421	ENST00000373134	0.31090174966352624	232	743
UFM1_independent_dPSI_positive	chr19|+|48921153|48921932|48921153|48921324|48921826|48921932	ENSG00000104805	RI	ENST00000706758	ENST00000405315	0.8524945770065075	401	461
UFM1_independent_dPSI_positive	chr19|+|44819581|44820822|44819581|44819726|44820704|44820822	ENSG00000187244	RI	ENST00000611077	ENST00000270233	0.9363057324840764	588	628
UFM1_independent_dPSI_positive	chr17|-|81189596|81189975|81189596|81189843|81189914|81189975	ENSG00000141577	RI	ENST00000570817	ENST00000269392	0.2547597461468722	307	1083
UFM1_independent_dPSI_positive	chr17|+|4890221|4890735|4890221|4890308|4890516|4890735	ENSG00000141503	RI	ENST00000571207	ENST00000347992	0.2684049079754601	381	1303
UFM1_independent_dPSI_positive	chr16|+|58515790|58516097|58515790|58515880|58515952|58516097	ENSG00000103037	RI	ENST00000219315	ENST00000310682	0.9492600422832981	473	449
UFM1_independent_dPSI_positive	chr16|-|56498436|56499907|56498436|56498568|56499777|56499907	ENSG00000125124	RI	ENST00000682735	ENST00000245157	0.30374479889042993	237	721
UFM1_independent_dPSI_positive	chr15|-|90980883|90981669|90980883|90981033|90981498|90981669	ENSG00000284946	RI	ENST00000647331	ENST00000643536	1.0	599	599
UFM1_independent_dPSI_positive	chr21|+|41421837|41422095|41421837|41421871|41421974|41422095	ENSG00000157601	RI	ENST00000398600	ENST00000413778	1.0	662	662
UFM1_independent_dPSI_positive	chr13|+|50953904|50956503|50953904|50953985|50956357|50956503	ENSG00000136104	RI	ENST00000616907	ENST00000336617	0.8878205128205128	289	312
UFM1_independent_dPSI_positive	chr11|+|85635666|85636536|85635666|85635778|85636045|85636536	ENSG00000171204	RI	ENST00000534341	ENST00000358867	0.7391304347826086	170	230
UFM1_independent_dPSI_positive	chr11|+|61366044|61367998|61366044|61366216|61367922|61367998	ENSG00000149483	RI	ENST00000689076	ENST00000278826	0.6234567901234568	105	162
UFM1_independent_dPSI_positive	chr16|+|28835932|28837237|28835932|28836485|28836727|28837237	ENSG00000168488	RI	ENST00000565971	ENST00000325215	0.14124293785310735	217	1062
UFM1_independent_dPSI_positive	chr14|+|20995900|20996292|20995900|20995951|20996208|20996292	ENSG00000165792	RI	ENST00000555640	ENST00000339374	0.3026315789473684	158	456
UFM1_independent_dPSI_positive	chr11|+|66531655|66532219|66531655|66531742|66531950|66532219	ENSG00000174483	RI	ENST00000393994	ENST00000318312	0.7419898819561551	446	593
UFM1_independent_dPSI_positive	chr16|-|89770165|89770634|89770165|89770259|89770563|89770634	ENSG00000187741	RI	ENST00000561667	ENST00000389301	0.43131868131868134	643	1455
UFM1_independent_dPSI_positive	chr16|-|89798950|89799232|89798950|89799079|89799165|89799232	ENSG00000187741	RI	ENST00000566409	ENST00000389301	0.021993127147766325	41	1455
UFM1_independent_dPSI_positive	chr3|+|50061461|50062108|50061461|50061547|50061961|50062108	ENSG00000004534	RI	ENST00000454079	ENST00000266022	0.6090828138913624	697	1123
UFM1_independent_dPSI_positive	chr3|-|49418970|49419405|49418970|49419151|49419259|49419405	ENSG00000145020	RI	ENST00000637821	ENST00000273588	0.09181141439205956	39	403
UFM1_independent_dPSI_positive	chr9|-|113186248|113187899|113186248|113186363|113187792|113187899	ENSG00000119321	RI	ENST00000686727	ENST00000238256	0.29614438063986875	363	1219
UFM1_independent_dPSI_positive	chr14|+|88567857|88568153|88567857|88567916|88568038|88568153	ENSG00000100722	RI	ENST00000554602	ENST00000251038	0.09782608695652174	72	736
UFM1_independent_dPSI_positive	chr3|+|9745572|9745930|9745572|9745709|9745811|9745930	ENSG00000156983	RI	ENST00000672515	ENST00000383829	0.9712918660287081	1253	1220
UFM1_independent_dPSI_positive	chr17|-|27878357|27880366|27878357|27879490|27880273|27880366	ENSG00000232859	RI	ENST00000460380	ENST00000379102	0.8488372093023255	86	78
UFM1_independent_dPSI_positive	chr11|-|6600925|6601602|6600925|6601055|6601148|6601602	ENSG00000132275	RI	ENST00000533907	ENST00000254605	0.6710526315789473	306	456
UFM1_independent_dPSI_positive	chr17|-|58206464|58207218|58206464|58206547|58207084|58207218	ENSG00000011143	RI	ENST00000677111	ENST00000313863	0.6798245614035088	317	456
UFM1_independent_dPSI_positive	chr3|-|50349385|50349828|50349385|50349494|50349664|50349828	ENSG00000114388	RI	ENST00000451194	ENST00000232501	0.18110236220472442	87	380
UFM1_independent_dPSI_positive	chr12|+|31103576|31104791|31103576|31103731|31103806|31104791	ENSG00000013573	RI	ENST00000435753	ENST00000228264	0.24282560706401765	288	880
UFM1_independent_dPSI_positive	chr1|+|109626725|109627316|109626725|109626912|109627174|109627316	ENSG00000116337	RI	ENST00000679981	ENST00000256578	0.04242424242424243	38	825
UFM1_independent_dPSI_positive	chr1|+|109628082|109629235|109628082|109628806|109629108|109629235	ENSG00000116337	RI	ENST00000681181	ENST00000256578	0.04242424242424243	38	825
UFM1_independent_dPSI_positive	chr1|+|23082219|23083632|23082219|23082366|23082449|23083632	ENSG00000004487	RI	ENST00000691404	ENST00000356634	0.9139908256880734	840	852
UFM1_independent_dPSI_positive	chr5|-|179837275|179840959|179837275|179837885|179840871|179840959	ENSG00000161010	RI	ENST00000518219	ENST00000292586	0.5422740524781341	192	343
UFM1_independent_dPSI_positive	chr3|-|49015818|49016086|49015818|49015872|49015972|49016086	ENSG00000178149	RI	ENST00000440857	ENST00000313778	0.8367346938775511	386	376
UFM1_independent_dPSI_positive	chr2|-|9406660|9407598|9406660|9406905|9407448|9407598	ENSG00000119185	RI	ENST00000359712	ENST00000238091	0.7119565217391305	184	150
