ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	upstream_to_intron_count	intron_to_downstream_count	intron_count	upstream_to_downstream_count
773	ENSG00000187531.14	SIRT7	chr17	-	81917829	81918132	81917829	81917967	81918038	81918132	773	120,93,67	188,126,142	51,64,106	124,126,199	220	149	0.117931283498	0.2569845879210149	0.302,0.333,0.242	0.218,0.256,0.265	0.046	47,56,49,34,41,59	106,69,52,35,54,84	0,0,0,0,0,0	188,126,142,124,126,199
1393	ENSG00000131652.14	THOC6	chr16	+	3025707	3026288	3025707	3025823	3025923	3026288	1393	82,205,94	139,195,238	60,58,70	166,187,193	249	149	0.00135983672041	0.007090577184995	0.261,0.386,0.191	0.178,0.157,0.178	0.108	35,107,38,41,18,41	60,124,63,27,52,31	0,0,2,0,0,0	139,195,238,166,187,193
1394	ENSG00000131652.14	THOC6	chr16	+	3025923	3026166	3025923	3025988	3026062	3026166	1394	412,503,497	49,31,51	287,428,390	56,79,21	223	149	0.0482622973944	0.1264179443069033	0.849,0.916,0.867	0.774,0.784,0.925	0.05	263,342,334,165,271,250	293,335,356,204,328,252	0,0,0,0,0,0	49,31,51,56,79,21
1395	ENSG00000131652.14	THOC6	chr16	+	3025923	3026288	3025923	3025988	3026250	3026288	1395	968,1065,1162	0,4,0	667,953,925	10,0,5	411	149	0.428667222537	0.6563264440941033	1.0,0.99,1.0	0.96,1.0,0.985	0.015	263,342,334,165,271,250	450,450,541,298,449,438	255,273,287,204,233,237	0,4,0,10,0,5
1396	ENSG00000131652.14	THOC6	chr16	+	3025923	3026288	3025923	3026166	3026250	3026288	1396	656,626,768	132,168,161	449,621,604	74,136,92	233	149	0.0448990551042	0.1192382009090318	0.761,0.704,0.753	0.795,0.745,0.808	-0.043	424,396,446,271,367,373	450,450,541,298,449,438	2,2,0,0,0,12	132,168,161,74,136,92
1824	ENSG00000161996.19	WDR90	chr16	+	653745	655147	653745	653803	655028	655147	1824	1457,1175,1299	77,75,90	883,1018,1022	76,54,59	1374	149	0.755357648274	0.9554152432376584	0.672,0.629,0.61	0.558,0.672,0.653	0.009	72,57,57,60,58,70	206,187,104,111,155,123	1179,931,1138,712,805,829	77,75,90,76,54,59
1825	ENSG00000161996.19	WDR90	chr16	+	655057	655468	655057	655147	655306	655468	1825	75,102,94	205,138,123	37,57,36	152,144,142	308	149	3.88164578549e-05	0.0003628392066558	0.15,0.263,0.27	0.105,0.161,0.109	0.103	24,47,33,21,18,23	40,54,61,16,29,12	11,1,0,0,10,1	205,138,123,152,144,142
1826	ENSG00000161996.19	WDR90	chr16	+	655772	656537	655772	655885	656301	656537	1826	358,337,323	31,10,5	340,335,366	11,26,33	565	149	0.0843158020197	0.1978525760923987	0.753,0.899,0.945	0.891,0.773,0.745	0.063	51,52,84,75,115,65	117,78,70,54,47,64	190,207,169,211,173,237	31,10,5,11,26,33
1827	ENSG00000161996.19	WDR90	chr16	+	655772	656537	655772	655889	656301	656537	1827	355,336,321	68,54,18	340,335,366	53,50,50	561	149	0.524303509884	0.7538169103420136	0.581,0.623,0.826	0.63,0.64,0.66	0.033	53,51,82,79,115,65	117,78,70,54,47,64	185,207,169,207,173,237	68,54,18,53,50,50
1828	ENSG00000161996.19	WDR90	chr16	+	666454	666792	666454	666598	666672	666792	1828	326,378,512	503,554,599	231,310,320	438,539,609	223	149	0.00333009333982	0.0148273507688083	0.302,0.313,0.364	0.261,0.278,0.26	0.06	215,245,345,132,210,202	204,320,357,175,194,225	0,0,0,0,0,0	503,554,599,438,539,609
2174	ENSG00000139641.13	ESYT1	chr12	+	56131039	56131316	56131039	56131113	56131243	56131316	2174	16,23,14	126,123,138	21,34,47	58,46,104	279	149	2.28393204349e-09	7.182087841374707e-08	0.064,0.091,0.051	0.162,0.283,0.194	-0.144	9,19,6,13,9,17	7,4,8,8,25,30	0,0,0,0,0,0	126,123,138,58,46,104
2920	ENSG00000165792.18	METTL17	chr14	+	20990229	20990598	20990229	20990383	20990463	20990598	2920	142,117,145	254,218,261	59,74,65	165,243,217	229	149	2.05712668726e-05	0.0002120050562399	0.267,0.259,0.266	0.189,0.165,0.163	0.092	94,54,49,34,37,23	72,84,106,36,38,50	0,0,0,0,0,0	254,218,261,165,243,217
2921	ENSG00000165792.18	METTL17	chr14	+	20993117	20994063	20993117	20993191	20993968	20994063	2921	1335,1202,1308	263,308,347	507,551,675	197,323,346	926	149	3.70814490225e-13	2.5839027887042044e-11	0.45,0.386,0.378	0.293,0.215,0.239	0.156	180,224,279,86,76,164	402,373,331,113,202,180	753,605,698,308,273,331	263,308,347,197,323,346
2922	ENSG00000165792.18	METTL17	chr14	+	20994793	20995233	20994793	20994901	20995164	20995233	2922	1126,1124,1248	158,159,179	688,764,1025	117,142,213	412	149	0.00781025238733	0.029096274385849	0.72,0.719,0.716	0.68,0.661,0.635	0.06	357,381,431,271,293,336	398,427,427,204,283,331	371,316,390,213,188,358	158,159,179,117,142,213
2923	ENSG00000165792.18	METTL17	chr14	+	20995900	20996292	20995900	20995951	20996208	20996292	2923	760,678,696	552,550,470	214,276,337	444,469,608	406	149	0.0	0.0	0.336,0.311,0.352	0.15,0.178,0.169	0.167	263,264,293,77,125,103	148,181,167,54,62,95	349,233,236,83,89,139	552,550,470,444,469,608
3099	ENSG00000011243.19	AKAP8L	chr19	-	15397713	15398766	15397713	15397855	15398629	15398766	3099	698,702,753	97,89,59	469,494,517	62,80,138	923	149	0.0144553231432	0.0477586430571672	0.537,0.56,0.673	0.55,0.499,0.377	0.115	164,169,154,86,73,114	82,129,89,56,82,74	452,404,510,327,339,329	97,89,59,62,80,138
3100	ENSG00000011243.19	AKAP8L	chr19	-	15397713	15399410	15397713	15397855	15399301	15399410	3100	1355,1556,1594	41,56,64	1030,1043,1003	25,13,31	1595	149	0.00851964285204	0.0313016476744812	0.755,0.722,0.699	0.794,0.882,0.751	-0.084	164,169,154,86,73,114	268,258,327,152,155,172	923,1129,1113,792,815,717	41,56,64,25,13,31
3101	ENSG00000011243.19	AKAP8L	chr19	-	15397713	15399410	15397713	15398766	15399301	15399410	3101	667,840,843	49,25,44	552,551,491	55,57,63	684	149	2.32921078502e-06	3.231384736140869e-05	0.748,0.88,0.807	0.686,0.678,0.629	0.147	101,78,66,91,99,64	268,258,327,152,155,172	298,504,450,309,297,255	49,25,44,55,57,63
3102	ENSG00000011243.19	AKAP8L	chr19	-	15398629	15399410	15398629	15398703	15399301	15399410	3102	721,962,906	3,8,2	609,610,548	4,6,13	747	149	0.00501926334528	0.0204914266533002	0.98,0.96,0.989	0.968,0.953,0.894	0.038	101,155,98,110,99,89	268,258,327,152,155,172	352,549,481,347,356,287	3,8,2,4,6,13
3103	ENSG00000011243.19	AKAP8L	chr19	-	15398629	15399410	15398629	15398731	15399301	15399410	3103	694,904,880	1,0,1	586,583,511	0,0,0	719	149	1.0	1.0	0.993,1.0,0.995	1.0,1.0,1.0	-0.004	89,132,80,103,83,60	268,258,327,152,155,172	337,514,473,331,345,279	1,0,1,0,0,0
3104	ENSG00000011243.19	AKAP8L	chr19	-	15397713	15400358	15397713	15399410	15400294	15400358	3104	1033,1160,1121	251,222,276	1325,1128,1416	85,115,169	1033	149	5.59747803663e-10	2.0190432541538328e-08	0.373,0.43,0.369	0.692,0.586,0.547	-0.218	109,143,164,128,121,144	281,291,260,401,295,424	643,726,697,796,712,848	251,222,276,85,115,169
3105	ENSG00000011243.19	AKAP8L	chr19	-	15397713	15400358	15397713	15399984	15400294	15400358	3105	564,534,479	0,0,0	772,632,732	5,1,0	459	149	1.0	1.0	1.0,1.0,1.0	0.98,0.995,1.0	0.008	135,79,81,162,172,105	281,291,260,401,295,424	148,164,138,209,165,203	0,0,0,5,1,0
3106	ENSG00000011243.19	AKAP8L	chr19	-	15397713	15400864	15397713	15400358	15400793	15400864	3106	20,18,35	356,266,321	38,13,25	265,352,266	584	149	0.576897438858	0.8048999078674076	0.014,0.017,0.027	0.035,0.009,0.023	-0.003	0,0,3,15,0,4	5,1,15,10,3,18	15,17,17,13,10,3	356,266,321,265,352,266
3107	ENSG00000011243.19	AKAP8L	chr19	-	15401149	15403715	15401149	15401603	15403474	15403715	3107	404,416,446	296,263,235	551,621,658	203,256,310	2020	149	7.9225122431e-05	0.0006645806439765	0.091,0.104,0.123	0.167,0.152,0.135	-0.045	23,1,24,46,45,42	10,2,3,31,11,24	371,413,419,474,565,592	296,263,235,203,256,310
3108	ENSG00000011243.19	AKAP8L	chr19	-	15403474	15403715	15403474	15403555	15403652	15403715	3108	505,580,498	14,0,0	480,415,467	6,10,0	246	149	0.458000751188	0.6876739976211597	0.956,1.0,1.0	0.98,0.962,1.0	0.005	304,326,338,300,258,295	274,345,285,273,222,262	0,0,0,0,2,0	14,0,0,6,10,0
3109	ENSG00000011243.19	AKAP8L	chr19	-	15401149	15403715	15401149	15401603	15403657	15403715	3109	823,939,853	4,0,10	924,931,1015	2,0,4	2203	149	0.0246212774316	0.073671881707683	0.933,1.0,0.852	0.969,1.0,0.945	-0.043	23,1,24,46,45,42	274,369,288,278,236,269	526,569,541,600,650,704	4,0,10,2,0,4
3110	ENSG00000011243.19	AKAP8L	chr19	-	15403474	15403715	15403474	15403555	15403657	15403715	3110	508,604,506	62,87,78	489,431,477	78,104,137	251	149	0.000655837442961	0.0039466096175042	0.829,0.805,0.794	0.788,0.711,0.674	0.085	304,326,338,300,258,295	274,369,288,278,236,269	0,0,0,0,2,0	62,87,78,78,104,137
3111	ENSG00000011243.19	AKAP8L	chr19	-	15403474	15404042	15403474	15403555	15404009	15404042	3111	524,517,469	23,3,9	484,435,459	12,8,5	603	149	0.372807128585	0.5942431277575305	0.849,0.977,0.928	0.909,0.931,0.958	-0.015	304,326,338,300,258,295	95,105,50,106,81,70	125,86,81,78,96,94	23,3,9,12,8,5
3112	ENSG00000011243.19	AKAP8L	chr19	-	15403474	15404042	15403474	15403715	15404009	15404042	3112	192,159,125	301,446,369	177,166,150	351,382,457	443	149	0.814970587164	1.0	0.177,0.107,0.102	0.145,0.128,0.099	0.005	40,28,29,37,32,35	95,105,50,106,81,70	57,26,46,34,53,45	301,446,369,351,382,457
3848	ENSG00000163516.14	ANKZF1	chr2	+	219233078	219233433	219233078	219233191	219233285	219233433	3848	118,128,145	55,74,67	26,47,42	13,24,44	243	149	0.210029761666	0.3950621161153104	0.568,0.515,0.57	0.551,0.546,0.369	0.062	44,46,46,6,31,23	81,112,110,20,23,33	0,0,0,0,0,0	55,74,67,13,24,44
3849	ENSG00000163516.14	ANKZF1	chr2	+	219234132	219235312	219234132	219234288	219234825	219235312	3849	636,778,928	127,110,194	224,224,289	41,73,104	686	149	0.0143142052067	0.0473434230461081	0.521,0.606,0.51	0.543,0.4,0.376	0.106	73,94,225,31,24,61	176,243,268,69,66,78	387,441,435,124,134,150	127,110,194,41,73,104
3850	ENSG00000163516.14	ANKZF1	chr2	+	219236009	219236651	219236009	219236095	219236321	219236651	3850	280,324,286	135,175,235	49,115,95	59,57,89	375	149	0.146734031811	0.3011288765277952	0.452,0.424,0.326	0.248,0.445,0.298	0.07	44,45,64,11,12,28	108,91,90,8,22,20	128,188,132,30,81,47	135,175,235,59,57,89
4468	ENSG00000172613.8	RAD9A	chr11	+	67395911	67396175	67395911	67396021	67396110	67396175	4468	45,34,49	105,110,64	6,18,21	55,106,51	238	149	0.00138708201427	0.0072142382625136	0.212,0.162,0.324	0.064,0.096,0.205	0.111	35,12,27,2,12,21	16,18,28,6,10,1	0,4,0,0,0,0	105,110,64,55,106,51
4944	ENSG00000197858.12	GPAA1	chr8	+	144083123	144083861	144083123	144083303	144083388	144083861	4944	115,88,85	292,366,331	41,58,52	218,262,288	234	149	0.00354404168814	0.0155657716896352	0.2,0.133,0.141	0.107,0.124,0.103	0.047	24,46,31,13,44,23	96,45,68,28,18,38	0,0,0,0,0,0	292,366,331,218,262,288
4945	ENSG00000197858.12	GPAA1	chr8	+	144083388	144083861	144083388	144083424	144083713	144083861	4945	1362,1408,1190	0,0,0	683,917,1006	0,0,1	438	149	1.0	1.0	1.0,1.0,1.0	1.0,1.0,0.997	0.001	447,385,403,227,260,302	763,829,651,403,535,577	152,194,136,53,122,127	0,0,0,0,0,1
4946	ENSG00000197858.12	GPAA1	chr8	+	144083388	144083861	144083388	144083500	144083713	144083861	4946	1047,1177,895	34,87,74	519,755,801	61,62,56	362	149	0.0170907201805	0.0549555826674494	0.927,0.848,0.833	0.778,0.834,0.855	0.047	170,228,152,72,119,133	763,829,651,403,535,577	114,120,92,44,101,91	34,87,74,61,62,56
4947	ENSG00000197858.12	GPAA1	chr8	+	144083388	144083861	144083388	144083516	144083713	144083861	4947	985,1135,848	2,0,0	490,712,759	0,0,0	346	149	1.0	1.0	0.995,1.0,1.0	1.0,1.0,1.0	-0.002	108,186,118,45,79,94	763,829,651,403,535,577	114,120,79,42,98,88	2,0,0,0,0,0
4948	ENSG00000197858.12	GPAA1	chr8	+	144083123	144083861	144083123	144083303	144083817	144083861	4948	1448,1540,1313	0,0,8	734,1027,1105	0,0,0	663	149	0.894076860342	1.0	1.0,1.0,0.974	1.0,1.0,1.0	-0.009	24,46,31,13,44,23	423,396,455,268,319,336	1001,1098,827,453,664,746	0,0,8,0,0,0
4950	ENSG00000197858.12	GPAA1	chr8	+	144083938	144084609	144083938	144084040	144084133	144084609	4950	131,232,211	418,402,419	130,154,104	403,438,415	242	149	0.00145510731308	0.0075221369497295	0.162,0.262,0.237	0.166,0.178,0.134	0.061	96,136,111,94,83,60	72,146,133,66,81,63	0,0,0,0,0,0	418,402,419,403,438,415
4951	ENSG00000197858.12	GPAA1	chr8	+	144083938	144084609	144083938	144084040	144084412	144084609	4951	678,961,922	2,0,5	475,664,542	0,2,3	521	149	1.0	1.0	0.99,1.0,0.981	1.0,0.99,0.981	0.0	96,136,111,94,83,60	249,336,309,79,128,209	333,489,502,302,453,273	2,0,5,0,2,3
4952	ENSG00000197858.12	GPAA1	chr8	+	144084133	144084609	144084133	144084330	144084412	144084609	4952	335,496,486	131,157,131	171,245,290	121,124,168	231	149	5.68464445738e-07	9.5502026883984e-06	0.623,0.671,0.705	0.477,0.56,0.527	0.145	126,239,224,104,138,121	249,336,309,79,128,209	0,0,0,0,0,0	131,157,131,121,124,168
4953	ENSG00000197858.12	GPAA1	chr8	+	144084133	144084609	144084133	144084330	144084418	144084609	4953	336,496,497	0,0,0	178,251,296	0,0,4	237	149	1.0	1.0	1.0,1.0,1.0	1.0,1.0,0.979	0.007	126,239,224,104,138,121	240,315,304,86,133,204	0,0,0,0,0,0	0,0,0,0,0,4
4954	ENSG00000197858.12	GPAA1	chr8	+	144084133	144084609	144084133	144084330	144084454	144084609	4954	401,604,587	0,18,2	238,322,395	2,3,6	273	149	0.813467230491	1.0	1.0,0.948,0.994	0.985,0.983,0.973	0.0	126,239,224,104,138,121	273,380,375,136,195,282	10,0,0,0,0,0	0,18,2,2,3,6
4955	ENSG00000197858.12	GPAA1	chr8	+	144084133	144085743	144084133	144084609	144084721	144085743	4955	121,113,152	336,418,411	73,103,77	175,176,356	261	149	0.452870522574	0.6820852033098006	0.171,0.134,0.174	0.192,0.25,0.11	-0.024	54,41,58,26,61,27	73,81,104,52,39,49	4,0,0,0,8,7	336,418,411,175,176,356
4956	ENSG00000197858.12	GPAA1	chr8	+	144084721	144085138	144084721	144084875	144085042	144085138	4956	662,723,746	192,177,225	365,489,646	124,144,172	316	149	0.568794379256	0.7972952303345281	0.619,0.658,0.61	0.581,0.616,0.639	0.017	292,359,328,175,209,297	292,335,380,159,229,303	78,29,38,31,51,46	192,177,225,124,144,172
4958	ENSG00000197858.12	GPAA1	chr8	+	144084721	144085479	144084721	144085138	144085288	144085479	4958	639,629,820	196,165,216	421,550,591	132,167,184	299	149	0.303905274582	0.5128087902412835	0.619,0.655,0.654	0.614,0.621,0.615	0.026	377,310,396,207,242,336	245,300,394,207,271,237	17,19,30,7,37,18	196,165,216,132,167,184
4959	ENSG00000197858.12	GPAA1	chr8	+	144085042	144085479	144085042	144085138	144085333	144085479	4959	790,794,1003	7,15,16	485,665,738	2,14,24	344	149	0.153823936886	0.3120239434286973	0.98,0.958,0.964	0.991,0.954,0.93	0.009	377,310,396,207,242,336	346,396,523,223,296,313	67,88,84,55,127,89	7,15,16,2,14,24
4960	ENSG00000197858.12	GPAA1	chr8	+	144085042	144085479	144085042	144085138	144085364	144085479	4960	893,958,1117	0,0,0	550,760,865	0,3,0	375	149	1.0	1.0	1.0,1.0,1.0	1.0,0.99,1.0	0.003	377,310,396,207,242,336	412,490,524,243,342,410	104,158,197,100,176,119	0,0,0,0,3,0
4961	ENSG00000197858.12	GPAA1	chr8	+	144085042	144085479	144085042	144085138	144085448	144085479	4961	1075,1127,1320	0,2,3	649,901,1048	0,2,0	459	149	1.0	1.0	1.0,0.995,0.993	1.0,0.993,1.0	-0.002	377,310,396,207,242,336	390,458,439,202,296,411	308,359,485,240,363,301	0,2,3,0,2,0
4962	ENSG00000197858.12	GPAA1	chr8	+	144085288	144085743	144085288	144085479	144085557	144085743	4962	335,360,360	23,2,0	230,273,360	10,0,4	227	149	0.205965170326	0.3891625601837708	0.905,0.992,1.0	0.938,1.0,0.983	-0.008	187,226,195,110,153,173	218,176,230,147,164,241	0,0,0,0,0,0	23,2,0,10,0,4
4963	ENSG00000197858.12	GPAA1	chr8	+	144084721	144085743	144084721	144085479	144085572	144085743	4963	393,420,419	142,189,221	251,326,425	88,155,169	242	149	0.486678279821	0.7172100965783157	0.63,0.578,0.539	0.637,0.564,0.608	-0.021	187,226,195,110,153,173	249,221,278,161,208,292	0,0,0,6,0,0	142,189,221,88,155,169
4964	ENSG00000197858.12	GPAA1	chr8	+	144085042	144085743	144085042	144085138	144085572	144085743	4964	1202,1212,1416	10,15,16	736,982,1188	11,20,29	583	149	0.00262218963857	0.0121444613774254	0.968,0.954,0.958	0.945,0.926,0.913	0.032	377,310,396,207,242,336	249,221,278,161,208,292	576,681,742,368,532,560	10,15,16,11,20,29
4965	ENSG00000197858.12	GPAA1	chr8	+	144085572	144086216	144085572	144085743	144085881	144086216	4965	174,125,136	318,394,313	93,133,92	195,239,332	287	149	0.913818969688	1.0	0.221,0.141,0.184	0.198,0.224,0.126	-0.001	120,74,66,46,60,50	54,51,59,47,71,32	10,0,14,0,10,16	318,394,313,195,239,332
4989	ENSG00000115317.13	HTRA2	chr2	+	74530910	74531371	74530910	74531105	74531338	74531371	4989	140,104,176	35,58,32	70,52,38	11,29,45	382	149	0.260525003655	0.4623225990660764	0.609,0.412,0.682	0.713,0.412,0.248	0.11	37,29,42,18,13,6	53,51,41,29,13,19	50,24,93,23,26,13	35,58,32,11,29,45
4992	ENSG00000115317.13	HTRA2	chr2	+	74531338	74531702	74531338	74531371	74531596	74531702	4992	141,103,107	17,42,27	36,24,20	7,41,33	374	149	0.0094285890106	0.0341269288885027	0.768,0.494,0.612	0.672,0.189,0.194	0.273	56,52,48,25,7,3	52,30,35,2,6,5	33,21,24,9,11,12	17,42,27,7,41,33
4993	ENSG00000115317.13	HTRA2	chr2	+	74531338	74531702	74531338	74531411	74531596	74531702	4993	112,76,81	0,0,2	34,23,19	0,0,0	334	149	1.0	1.0	1.0,1.0,0.948	1.0,1.0,1.0	-0.017	50,45,37,32,9,9	52,30,35,2,6,5	10,1,9,0,8,5	0,0,2,0,0,0
4994	ENSG00000115317.13	HTRA2	chr2	+	74530910	74531925	74530910	74531702	74531855	74531925	4994	48,80,106	73,94,74	13,4,32	31,54,43	302	149	0.000418264368337	0.002734325273606	0.245,0.296,0.414	0.171,0.035,0.269	0.16	15,38,35,3,1,19	33,42,59,10,3,13	0,0,12,0,0,0	73,94,74,31,54,43
5258	ENSG00000221829.11	FANCG	chr9	-	35074370	35075325	35074370	35074494	35074926	35075325	5258	1105,1431,1805	262,259,248	402,740,774	112,123,159	581	149	0.316342792682	0.527123370849463	0.52,0.586,0.651	0.479,0.607,0.555	0.039	393,428,641,125,274,231	282,424,411,103,189,176	430,579,753,174,277,367	262,259,248,112,123,159
5259	ENSG00000221829.11	FANCG	chr9	-	35074370	35075325	35074370	35074462	35075278	35075325	5259	1746,1963,2585	0,0,1	655,1145,1212	0,0,1	965	149	1.0	1.0	1.0,1.0,0.998	1.0,1.0,0.995	0.001	363,315,467,136,231,208	171,169,231,70,121,95	1212,1479,1887,449,793,909	0,0,1,0,0,1
5260	ENSG00000221829.11	FANCG	chr9	-	35074926	35075325	35074926	35075076	35075278	35075325	5260	516,452,640	0,4,6	184,325,345	0,0,1	351	149	0.745364952385	0.9482884507602491	1.0,0.98,0.978	1.0,1.0,0.993	-0.012	265,203,279,88,142,172	171,169,231,70,121,95	80,80,130,26,62,78	0,4,6,0,0,1
5261	ENSG00000221829.11	FANCG	chr9	-	35074926	35075325	35074926	35075082	35075278	35075325	5261	477,440,619	143,257,220	179,309,334	69,138,132	345	149	0.846737276826	1.0	0.59,0.425,0.549	0.528,0.492,0.522	0.007	227,191,269,85,136,162	171,169,231,70,121,95	79,80,119,24,52,77	143,257,220,69,138,132
5262	ENSG00000221829.11	FANCG	chr9	-	35075464	35076028	35075464	35075729	35075961	35076028	5262	499,739,676	37,23,23	111,298,249	10,22,31	381	149	0.000141028292459	0.0010960525847383	0.841,0.926,0.92	0.813,0.841,0.759	0.091	78,120,146,17,62,36	88,158,140,24,35,36	333,461,390,70,201,177	37,23,23,10,22,31
5263	ENSG00000221829.11	FANCG	chr9	-	35075464	35076028	35075464	35075754	35075961	35076028	5263	485,706,615	33,34,16	105,283,238	23,16,11	356	149	0.0349051920443	0.0985898837474194	0.86,0.897,0.941	0.656,0.881,0.901	0.087	124,127,128,16,75,53	88,158,140,24,35,36	273,421,347,65,173,149	33,34,16,23,16,11
5264	ENSG00000221829.11	FANCG	chr9	-	35075464	35076583	35075464	35075729	35076431	35076583	5264	1033,1315,1314	2,1,5	310,505,631	2,14,0	851	149	0.000217842642063	0.0015672142435814	0.989,0.996,0.979	0.964,0.863,1.0	0.046	78,120,146,17,62,36	74,106,112,12,31,43	881,1089,1056,281,412,552	2,1,5,2,14,0
5265	ENSG00000221829.11	FANCG	chr9	-	35075464	35076583	35075464	35075754	35076431	35076583	5265	1019,1282,1253	0,0,4	304,490,620	1,6,1	826	149	0.191030311031	0.3682483078409594	1.0,1.0,0.983	0.982,0.936,0.991	0.025	124,127,128,16,75,53	74,106,112,12,31,43	821,1049,1013,276,384,524	0,0,4,1,6,1
5266	ENSG00000221829.11	FANCG	chr9	-	35075464	35076583	35075464	35075754	35076449	35076583	5266	1069,1298,1332	0,0,0	311,523,646	0,0,1	844	149	1.0	1.0	1.0,1.0,1.0	1.0,1.0,0.991	0.003	124,127,128,16,75,53	119,107,178,19,64,69	826,1064,1026,276,384,524	0,0,0,0,0,1
5267	ENSG00000221829.11	FANCG	chr9	-	35075464	35076583	35075464	35076028	35076449	35076583	5267	645,669,811	12,7,10	220,260,432	14,9,15	570	149	2.73210674989e-05	0.0002710886503288	0.934,0.962,0.955	0.804,0.883,0.883	0.094	78,126,153,20,27,61	119,107,178,19,64,69	448,436,480,181,169,302	12,7,10,14,9,15
5268	ENSG00000221829.11	FANCG	chr9	-	35076723	35077101	35076723	35076870	35076970	35077101	5268	242,139,235	109,97,93	38,103,72	46,62,119	249	149	0.00158003987631	0.0080563185861688	0.571,0.462,0.602	0.331,0.499,0.266	0.18	132,87,161,19,66,38	131,78,113,19,62,48	0,0,0,0,0,0	109,97,93,46,62,119
