motif_DB	motif_ID	motif_ALT_ID	seq_ID	FASTA_score	PWM_score	class
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	Const_687_ENST00000449261.6::6:36209915-36210215(+)	838	2.69948	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	ID=104::1:151266121-151266307(+)	105	2.60365	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00009_2.00	TRIM56	ID=77::3:12590974-12591707(-)	78	2.58488	tp
#
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_530_ENST00000354454.7::12:25079290-25079397(+)	681	48.6925	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_214_ENST00000674100.1::6:43050398-43050967(-)	365	43.3322	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	ID=25::15:42410496-42410587(+)	26	42.2431	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_477_ENST00000617267.4::7:36514590-36522038(-)	628	32.0522	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1255_ENST00000561166.1::15:45141410-45141974(+)	1406	29.9051	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1161_ENST00000299138.12::16:46680853-46681376(-)	1312	24.7153	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1256_ENST00000648212.1::3:4683551-4683627(+)	1407	23.3336	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	ID=125::1:6474587-6475046(-)	126	20.48	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_431_ENST00000681935.1::11:61314210-61314307(-)	582	19.9839	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1291_ENST00000518315.5::8:18804602-18804703(-)	1442	19.3569	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1252_ENST00000394917.3::7:6697811-6705158(-)	1403	17.497	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	ID=90::9:87728396-87728584(+)	91	17.1524	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_940_ENST00000465230.5::2:219605734-219605955(+)	1091	17.0225	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1060_ENST00000304076.6::19:6828708-6828814(+)	1211	17.0062	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	ID=68::1:149933698-149933854(-)	69	16.0472	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1048_ENST00000428210.5::2:61490776-61492034(-)	1199	16.0273	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1101_ENST00000425847.6::3:131468168-131469695(-)	1252	14.8504	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_122_ENST00000670849.1::15:30925291-30925788(+)	273	14.5343	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_845_ENST00000405801.2::7:5603617-5603862(+)	996	12.9235	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1043_ENST00000555733.5::14:21022905-21023240(-)	1194	12.788	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_750_ENST00000442406.5::3:184317816-184319688(+)	901	12.7719	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_278_ENST00000643088.1::16:2088325-2088445(+)	429	12.6592	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_704_ENST00000475668.6::7:142050284-142050696(+)	855	11.5055	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1278_ENST00000524782.6::11:47171800-47172280(-)	1429	10.8202	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	ID=104::1:151266121-151266307(+)	105	10.6764	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1087_ENST00000376829.7::13:95611493-95612036(-)	1238	10.3702	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	ID=137::1:46196077-46196778(-)	138	10.3129	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	ID=95::1:6094485-6095322(+)	96	10.0991	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_396_ENST00000541388.1::11:64243497-64243840(+)	547	9.85152	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_428_ENST00000573567.5::16:20349869-20350649(-)	579	9.77956	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_1025_ENST00000529355.1::11:10768161-10768342(+)	1176	9.76813	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_108_ENST00000511957.5::1:17002373-17004331(-)	259	9.60142	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_541_ENST00000609179.5::20:346897-349248(+)	692	8.72643	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_736_ENST00000578267.5::17:7585797-7585950(+)	887	8.16633	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	Const_857_ENST00000448940.5::1:226994399-226994822(-)	1008	7.83998	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	ID=116::22:26472418-26472831(-)	117	7.77393	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00192_2.00	M00192_2.00	ID=32::13:51937393-51937475(-)	33	7.65199	tp
#
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_298_ENST00000526540.5::11:3360565-3360719(-)	449	45.6951	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_395_ENST00000503378.1::5:58455414-58455538(-)	546	32.2483	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_777_ENST00000307765.10::4:158612201-158612290(+)	928	29.0247	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_35_ENST00000684500.1::12:56101361-56101528(+)	186	28.4263	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_536_ENST00000600973.5::19:39392802-39393552(+)	687	28.4232	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_799_ENST00000503884.5::4:15979904-15980421(-)	950	26.6938	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_773_ENST00000432682.5::3:35679701-35679786(+)	924	24.4509	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_243_ENST00000552370.5::12:49758275-49758382(+)	394	22.9515	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_834_ENST00000505606.6::5:43122177-43123208(+)	985	20.9976	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_290_ENST00000448935.6::14:77435393-77435843(-)	441	20.2385	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	ID=90::9:87728396-87728584(+)	91	19.6032	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_1148_ENST00000369172.8::10:118310908-118311206(-)	1299	19.4544	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_822_ENST00000688151.1::5:132385499-132386252(+)	973	19.4362	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_1133_ENST00000682879.1::12:21910312-21910825(-)	1284	18.6521	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_766_ENST00000304267.12::10:12157067-12157907(+)	917	17.389	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_6_ENST00000677354.1::12:6965712-6965910(-)	157	17.1319	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_683_ENST00000567891.5::15:89261741-89261820(+)	834	16.9618	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_1160_ENST00000481935.5::14:74288765-74289482(-)	1311	16.9197	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_392_ENST00000520102.1::8:23256685-23258032(+)	543	16.8745	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_937_ENST00000676740.1::2:231078747-231079535(+)	1088	16.2949	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_1203_ENST00000492462.1::6:30706098-30707383(-)	1354	15.3059	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_1331_ENST00000334141.7::15:84601135-84603819(+)	1482	15.2603	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_511_ENST00000541176.2::20:35672844-35673600(-)	662	14.9301	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_97_ENST00000555381.5::14:92081061-92082299(-)	248	14.5507	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_427_ENST00000420358.2::14:55010460-55013484(-)	578	14.4685	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_1143_ENST00000621147.5::X:45059104-45059246(+)	1294	14.1792	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_527_ENST00000460641.1::2:186666783-186667149(+)	678	14.1349	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	ID=126::19:1271467-1271550(+)	127	13.8837	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	ID=75::1:75732922-75734790(+)	76	13.805	tp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_341_ENST00000522371.5::6:113958766-113959905(-)	492	13.5404	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_709_ENST00000690229.1::1:150949278-150949366(+)	860	13.3714	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_548_ENST00000257931.9::12:56320021-56322077(-)	699	13.3065	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_621_ENST00000703131.1::1:11124633-11126621(-)	772	13.2602	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_1228_ENST00000627368.2::5:150755567-150756416(-)	1379	13.1979	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_556_ENST00000504405.5::1:179118764-179120189(-)	707	12.9567	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_226_ENST00000644328.1::4:39454225-39454532(-)	377	12.908	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_1151_ENST00000586939.5::19:10772628-10775702(+)	1302	12.9068	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_1305_ENST00000704311.1::15:75380723-75381612(-)	1456	12.8653	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	Const_910_ENST00000543532.5::6:159787871-159788057(-)	1061	12.5802	fp
/Users/ranjithpapareddy/Desktop/Desktop-Ranjith-iMac/forGIT/UFMylation_Ribosome_stalling_RNA_Splicing/Part4_Splicing_Analysis/data/motifs/CisBP_Human_All.meme	M00100_2.00	M00100_2.00	ID=140::8:74361978-74362938(+)	141	12.515	tp
